praf,pmek,plcg,PIP2,PIP3,p44_42,pakts473,PKA,PKC,P38,pjnk
244,385,35.5,91.4,54.2,46.6,289,3.46,202,1219,229
400,523,599,1075,10.6,198,1346,11.5,655,3249,1334
1155,1582,914,1526,33.4,59.9,325,12.9,70.4,433,239
311,533,267,441,2.76,49.6,319,9.31,62.1,403,44.1
269,359,9.31,33.7,19.5,108,813,22.5,106,573,181
322,578,124,248,1.51,66.7,523,26.7,147,757,186
346,583,407,704,12.2,46.6,219,103,828,3995,1811
172,239,1526,2350,50.5,64.9,496,17.5,583,3134,956
231,346,183,331,17.9,105,599,13.1,51.9,343,300
737,1219,181,322,6.61,59.9,433,15.7,94.7,528,150
334,578,244,418,4.87,47.8,302,1.45,120,667,723
396,615,215,346,1.14,29.4,149,1.93,18.1,32.8,418
205,294,179,325,6.92,38.5,235,13.3,939,4870,1911
418,632,196,385,10.8,63.8,392,14.6,125,737,632
281,426,135,233,13.2,31.6,189,9.65,41.4,248,46.6
264,396,1208,2035,66.7,127,655,12.3,88.2,505,264
835,1286,730,1420,26.9,47.4,337,42.9,22.5,102,129
806,1176,604,1114,12,88.2,583,10.5,165,882,542
132,225,82.8,638,47.8,71.7,389,13.1,449,2393,1433
583,922,533,874,26.9,21.1,189,2.48,478,2642,1219
165,209,316,533,5.23,67.9,466,10,121,737,167
160,248,375,704,8.51,27.4,142,4.49,117,730,146
123,209,106,196,9.65,66.1,410,9.14,281,1731,991
1046,1526,313,638,6.15,42.2,300,17.2,175,1144,392
457,632,135,239,6.44,120,914,52.3,19.1,63.8,1512
1046,1625,311,542,18.3,77,644,4.1,135,874,264
161,239,289,573,3.89,44.5,231,1.57,250,1625,276
94.7,138,151,225,6.21,68.5,426,7.77,88.2,528,105
667,1219,237,407,6.38,57.8,343,7.64,96.5,466,133
157,229,101,213,42.2,102,621,14.6,75,509,167
567,965,491,906,1.79,14.2,69.2,5.38,149,1027,328
231,372,820,1778,25.9,121,858,12.1,143,947,1018
244,319,195,375,5.14,38.2,255,12.6,91.4,514,478
246,372,294,523,5.99,82.8,478,10.9,69.2,372,207
441,820,239,340,7.77,12.1,98.2,9.82,71,433,286
294,457,284,441,21.5,30.8,124,11.4,100,692,433
102,164,233,407,12.2,59.4,385,10,487,2690,1075
165,250,300,567,10.5,161,991,7.91,10.4,43.7,965
692,931,276,478,14.6,113,626,15.8,396,2017,496
638,982,112,205,8.2,67.9,483,5.47,59.9,343,1395
235,368,96.5,150,4.53,105,557,4.29,37.2,198,191
248,429,244,453,8.2,41,200,6.92,130,770,255
331,621,129,547,15.3,89.8,523,11.3,186,1000,723
973,1472,77,114,13.6,25,137,8.66,86.6,588,127
313,491,165,661,22.7,73,500,14.3,79.1,538,262
578,1000,149,271,2.07,38.9,257,11.5,52.3,385,274
750,1298,385,667,5.38,42.9,264,7.91,78.4,429,284
133,259,250,461,1,58.3,349,37.9,32.5,154,813
368,632,1860,2890,93.1,96.5,583,8.13,118,679,138
227,422,305,437,21.9,99.1,777,3.13,26.2,64.4,882
474,737,217,305,5.52,106,723,3.43,61,325,175
200,294,1124,1860,95.6,17.9,123,14.3,43.7,250,110
1104,1526,153,316,7.5,83.5,604,34.3,25,130,56.7
93.1,132,474,757,24.8,64.9,437,8.9,105,557,184
250,346,305,528,6.21,42.9,198,18.8,46.6,286,262
1252,1843,491,922,12,76.4,496,5,313,1946,274
262,483,135,241,3.72,87.4,533,8.66,11.3,53.8,84.3
547,914,723,1370,11,27.9,200,9.73,209,1165,286
202,337,89.8,196,8.28,91.4,470,23.5,45.3,274,129
931,1433,90.6,200,3.31,72.3,437,10.7,55.2,325,80.6
557,939,269,491,12.5,17.8,97.3,13.1,1611,7499,2247
175,241,316,562,4.03,55.7,308,9.06,52.8,284,146
379,523,64.9,121,2.67,56.2,286,5.99,205,1124,1009
1114,1611,685,1252,17.2,58.8,375,9.91,1155,6378,2035
257,392,922,1568,36.5,24.8,89.8,10.2,130,698,233
133,235,552,1009,6.61,75,403,11,71,375,202
96.5,150,215,316,8.9,43.3,284,4.37,50.5,292,168
1843,2788,523,931,19.3,50.5,267,5.73,52.3,286,151
723,1252,519,991,14.9,47,250,1,34.9,188,34.9
127,186,396,717,11.9,28.9,202,14.3,86.6,487,382
105,183,145,264,4.03,157,1055,33.4,90.6,533,300
198,340,115,193,1.95,23.7,184,7.77,400,2480,757
196,313,730,1346,15.5,69.8,385,8.58,27.4,108,111
346,562,200,331,8.58,5.57,20.5,79.9,44.1,262,87.4
184,289,284,478,10.3,42.2,325,7.7,95.6,542,244
202,519,325,483,7.7,45.7,244,11.4,120,621,286
99.1,126,300,496,20.4,23.5,141,7.1,73,478,108
271,403,433,698,21.5,28.4,150,16.1,184,956,146
117,173,176,311,7.04,54.7,429,4,154,906,139
57.8,114,400,730,6.44,41.4,179,12.6,403,2129,2436
235,355,717,1433,29.7,37.5,205,15.7,96.5,547,160
644,1009,828,1472,80.6,32.8,160,6.67,59.4,340,80.6
368,632,491,791,13.9,22.9,123,18.4,204,1018,2864
313,461,50.5,142,71.7,38.5,271,8.2,47,279,124
186,286,2110,3491,53.8,20.2,145,2.97,54.2,311,103
200,286,267,478,7.99,60.4,375,6.92,223,1219,1843
325,519,178,328,2.69,89.8,655,7.99,59.4,305,217
743,1124,93.9,167,10.2,41,316,5.94,189,1230,237
127,250,131,257,8.98,21.9,103,8.58,109,692,158
108,167,284,470,9.06,61,311,3.05,42.9,215,75.7
1715,2480,365,704,8.2,84.3,505,14.9,36.5,189,111
334,528,155,284,4.26,99.1,557,20.2,83.5,538,178
126,205,168,284,10.1,61,340,16.8,85.1,509,191
138,255,54.2,90.6,5.14,42.6,300,2.48,158,939,253
445,632,183,355,4.53,39.2,211,8.66,75.7,496,173
851,1310,389,632,4.37,63.8,349,69.8,241,1407,982
121,205,93.1,211,9.91,8.28,22.5,58.3,57.3,429,111
2329,3398,328,567,12.4,111,717,9.06,151,1055,237
217,308,267,496,7.3,30.5,231,13.9,135,750,297
147,215,184,325,5.73,20.7,141,1.7,39.6,257,241
189,328,359,649,5.83,59.9,319,20.7,56.2,352,396
168,248,547,991,17.6,51.9,322,12.6,38.5,257,74.3
311,514,250,418,16.4,95.6,542,14.2,93.1,698,262
2017,3220,104,179,1,123,770,35.5,35.5,241,117
449,667,1055,1794,38.2,36.2,160,23.7,50.9,313,69.8
257,355,799,1655,40,40,289,10.1,1065,4958,1310
161,300,743,1472,31.6,24.8,142,6.61,777,3854,1165
379,604,331,632,11.5,97.3,533,11,81.3,457,227
41,45.3,644,1144,22.1,79.1,519,19.5,45.3,92.2,667
227,362,138,253,2.27,56.2,392,6.67,198,1219,281
237,311,196,343,7.37,69.8,400,13.6,93.9,437,621
1486,2227,743,1407,15.3,106,698,28.1,139,799,322
79.9,104,101,186,9.22,42.6,313,7.17,49.1,281,77
806,1219,183,337,1.01,80.6,610,2.76,186,1134,392
153,286,562,1046,11.1,141,914,7.91,118,698,1685
195,328,799,1526,23.3,57.8,193,2.21,170,1084,221
244,400,119,215,6.85,62.1,385,7.04,49.6,300,127
1114,1685,158,286,9.65,19.1,75,6.1,25.7,146,46.1
538,764,2267,3619,91.4,82,474,23.7,679,3555,1176
31.1,99.1,35.9,58.3,4.33,61.5,403,1,31.3,163,661
496,730,142,284,1,32.2,195,46.1,77,396,137
279,429,379,723,10.2,60.4,375,11.7,28.9,207,80.6
1526,2187,281,483,10.6,19.5,82.8,7.57,164,866,2148
828,1263,219,457,17.3,23.7,118,3.22,97.3,737,337
259,368,124,202,10.4,19.1,129,4.29,45.7,253,770
470,743,84.3,142,6.26,44.1,334,6.44,85.8,547,255
1197,1747,233,461,18.6,33.7,168,7.91,487,2503,1486
221,331,241,453,5.47,29.7,139,1.7,58.8,355,931
93.1,137,176,322,14.1,47,289,1,82.8,478,241
305,491,1459,2329,57.3,36.5,225,6.44,11.2,76.4,269
231,372,161,289,8.06,101,594,11.7,62.6,400,200
281,433,150,274,1.42,38.2,221,13.6,4.96,26.4,750
81.3,106,422,813,2.89,43.7,244,14.1,599,3220,947
231,365,692,1322,25,146,914,3.22,43.3,231,163
279,478,125,225,13.8,37.2,221,114,158,973,316
271,519,1286,2207,213,97.3,698,9.47,305,1778,1186
200,308,1670,2690,61,25,178,8.51,286,1486,770
98.2,165,426,710,25.9,54.7,319,1.68,1000,5048,2110
233,437,27.6,102,44.9,54.7,297,8.2,85.8,474,379
138,207,141,276,1,54.2,349,13.6,281,1526,777
302,509,81.3,491,26.4,191,1219,43.3,63.2,375,71
143,255,178,313,1,15.7,48.3,36.5,72.3,453,229
237,365,372,806,20.7,55.2,368,5.94,149,866,1263
131,223,692,1382,14.7,103,764,10.6,191,1263,253
372,519,478,799,22.3,47.8,281,6.49,61,385,145
523,890,250,410,10.6,141,866,85.1,24.4,147,94.7
325,542,262,478,20,79.1,429,3.46,21.5,118,124
474,791,302,410,10,53.3,407,13.2,253,1286,372
151,262,207,372,17.6,85.8,519,15.4,61.5,233,319
250,389,281,491,6.55,71.7,500,6.04,88.2,509,135
418,673,777,1420,3.72,24.6,165,2.39,53.3,316,176
115,170,346,567,11.1,37.9,178,5.14,246,1370,379
743,1104,211,365,1.24,77,441,5.94,137,898,365
259,362,410,1075,59.9,42.2,213,13,142,806,743
496,757,151,300,6.15,83.5,588,1.57,40.7,269,121
132,213,96.5,178,4.45,38.2,223,4.87,36.8,193,207
308,441,478,914,15.8,54.2,389,4.41,22.9,131,196
259,445,673,1310,16.7,1,7.1,12.4,52.3,305,343
385,638,799,1554,24.1,79.9,538,13.8,56.7,340,77
297,514,308,547,22.1,67.3,355,6.85,75,433,519
349,547,158,237,1.01,69.8,382,14.5,188,922,1395
271,453,466,777,11.3,66.7,379,9.65,69.2,389,175
172,271,352,661,31.9,85.8,557,24.8,86.6,491,253
710,1197,449,770,15,47,325,4.61,47,297,41.8
281,483,231,389,9.65,17.8,121,7.3,32.5,204,135
337,509,231,445,6.38,10.5,61,7.17,186,1219,248
392,542,250,382,2.05,33.7,284,11.5,95.6,567,1065
231,362,142,248,5.88,85.8,583,26.7,17.2,85.1,50.5
626,1018,743,1298,16.8,122,730,17.9,33.4,198,120
730,1208,311,519,19.1,47.8,276,8.98,61.5,352,362
276,375,186,368,4.29,61.5,400,21.1,126,820,113
523,914,138,223,7.84,77,500,10.2,311,1911,349
331,496,441,866,10.8,117,835,17.9,355,1981,1275
191,319,349,737,1.01,19.6,107,1.58,142,813,340
1000,1526,685,1186,20.7,25.9,143,5.57,111,698,205
599,1018,474,799,11.2,219,1499,18.6,101,621,129
103,155,104,202,1.37,71,514,5.47,53.8,281,120
305,422,478,898,11.5,15.4,79.1,1.36,28.1,160,94.7
276,396,215,414,9.39,45.7,331,2.86,67.3,355,196
557,828,1512,2595,294,45.3,276,12.2,13,64.9,1084
105,200,483,931,5.73,75,445,13.2,47.8,325,172
292,461,349,661,4.57,41.4,305,9.91,111,843,207
130,244,233,400,5.19,98.2,610,20.4,54.2,349,142
4614,7105,151,267,13.7,34.9,204,6.26,53.8,311,118
322,474,567,1094,13.8,43.3,196,1.51,25,66.1,578
135,207,164,319,1.78,35.9,262,13.9,770,3619,947
195,281,1670,2548,98.2,40.7,227,12.7,76.4,426,359
213,349,400,820,7.84,51.4,239,5.57,109,717,259
478,973,389,1554,117,89,626,16.5,1186,5573,1144
225,343,372,621,12.7,12.1,53.8,136,71.7,400,308
487,757,835,1358,7.23,67.9,407,10,167,991,632
253,368,96.5,170,3.22,122,552,22.7,30.2,158,362
400,557,588,1065,13.5,16.4,92.2,4.45,172,1027,325
213,382,322,594,7.57,56.7,328,4.53,129,750,267
237,362,2148,3278,37.2,15.1,106,1,81.3,538,250
253,437,149,302,10.1,36.5,233,6.61,32.8,223,82
418,673,110,217,3.79,37.2,193,5.28,115,615,113
195,325,250,433,8.82,143,1037,84.3,57.8,349,132
74.3,115,168,410,22.3,54.2,297,14.1,97.3,604,193
106,151,346,594,7.23,15.3,75.7,9.56,85.8,362,362
328,528,198,294,6.38,74.3,496,4.66,83.5,528,319
207,311,445,813,11.1,44.5,305,10.2,125,764,246
294,414,104,191,10.6,31.1,255,5.33,28.9,160,66.1
151,292,1346,2247,126,60.4,305,14.3,87.4,552,1596
257,487,136,255,4.66,35.2,204,4.49,43.3,286,173
105,151,750,1596,24.6,126,874,35.2,109,704,85.1
294,474,209,385,8.43,66.1,375,2.29,5.23,34,973
154,181,649,1027,52.8,70.4,500,7.17,79.9,483,262
389,667,183,355,8.66,49.1,365,7.37,259,1446,588
111,161,500,866,24.6,76.4,445,6.38,9.22,34.3,523
340,588,505,858,11.2,81.3,509,2.57,41.8,294,157
92.2,130,372,757,21.5,82,491,8.28,161,947,375
1370,1860,193,385,257,70.4,410,5.67,49.1,311,84.3
30,71.7,193,325,8.98,18.4,123,1.93,127,914,284
355,519,692,1310,13.8,117,806,31.3,163,991,483
57.8,50.5,474,858,8.98,19.3,167,8.58,167,1124,410
202,302,74.3,93.9,12,69.2,457,20.2,55.7,340,211
316,449,316,588,17.5,32.2,202,5.83,53.3,328,131
730,1241,267,470,9.06,117,638,6.55,107,649,279
1794,2714,271,487,1.38,34,163,7.84,229,1395,777
1459,2110,170,313,7.43,53.3,372,8.35,213,1155,509
331,523,191,325,10,47,355,12,54.2,340,225
1037,1611,281,474,14.1,27.4,132,1.98,437,2329,1075
379,573,1459,2267,46.6,37.5,241,8.28,93.9,604,167
679,1018,259,407,19.6,80.6,457,21.9,131,939,213
547,858,1843,2943,51.4,42.9,276,20.9,77.7,433,209
14.5,32.5,655,1186,16.4,50,375,1.42,35.5,211,90.6
77,124,284,523,11.2,85.1,599,15.5,186,1165,337
523,866,106,198,3.72,36.8,217,1,158,931,322
500,661,276,491,17.2,59.9,322,6.79,487,2890,573
231,426,223,379,6.1,106,509,10.3,91.4,567,200
359,615,604,1084,18.4,77,474,2.35,62.6,389,90.6
264,418,457,874,10.4,53.3,346,2.09,8.06,37.2,1037
328,557,939,1472,92.2,86.6,453,31.9,32.2,164,137
202,313,770,1298,27.1,183,1241,66.1,1094,5523,1219
557,922,337,567,17.3,53.8,331,16,108,573,130
131,239,172,319,7.84,37.5,221,11.3,96.5,583,246
85.1,137,311,533,16.5,28.1,123,6.98,717,3685,1075
121,165,743,1407,5.57,16.4,184,63.2,113,685,246
1794,2480,340,610,21.9,32.5,147,15.4,11.1,59.9,60.4
514,704,316,661,5.57,79.9,382,10.6,205,1263,562
991,1420,186,349,5.23,51.4,316,3.82,655,3249,1197
470,835,109,235,18.8,45.7,276,13.5,130,843,213
56.2,103,239,449,22.1,71.7,547,12.1,82,474,231
132,217,311,632,1.67,79.9,496,3.68,29.2,137,956
698,1124,155,286,12.1,75,410,26.7,25,115,40.3
73,112,108,244,10.3,25.3,110,6.38,71,483,189
269,414,179,328,1.64,95.6,615,17.3,56.7,349,533
257,396,235,385,2.71,105,594,39.6,45.7,248,81.3
259,372,118,193,1.26,26.7,184,1,239,1512,422
150,241,142,259,9.31,43.7,259,12.6,64.4,403,259
193,349,250,437,1.64,137,914,12.3,445,2329,2148
221,385,764,1310,9.31,47.8,229,17.8,16,61.5,1568
