Akt,Erk,Jnk,Mek,P38,PIP2,PIP3,PKA,PKC,Plcg,Raf
32.5,1,17.3,145,33.7,131,30,107,11.9,7.77,114
42.2,2.39,18.3,237,36.5,27.4,17.3,204,1,14.1,151
83.5,2,7.57,667,14.1,10.6,32.8,334,4.41,7.1,433
75.7,3.34,5.33,1208,11.5,72.3,27.6,233,2.46,14.2,813
48.3,1,13,244,18.6,18.9,17.6,98.2,2.89,22.1,173
64.4,2.11,349,433,107,146,31.6,322,2.67,8.13,274
43.3,1,30.2,231,30,141,6.73,113,12.2,7.77,122
52.8,4.22,5.42,1700,16,155,13.9,1655,2.37,5.57,1155
111,3.4,42.2,165,90.6,183,36.2,316,49.1,9.65,154
32.8,2.59,1.36,349,12,17,30.8,102,1.17,10,239
155,2.13,3.65,453,21.7,19.8,15.3,319,1.65,10.3,355
133,26.7,28.9,799,54.7,13.8,9.47,4217,11.7,14.9,509
184,32.2,11.5,1731,33.4,17.9,15.5,4826,2.55,12.5,1208
26.4,1.24,1,1055,40.7,22.3,8.82,33.7,1.41,19.8,673
66.7,1.22,11.4,69.2,35.2,28.6,23.7,73,4.78,14.7,62.6
31.1,1,12.6,176,29.7,25.9,31.6,124,2.67,15,124
145,27.4,164,1084,37.5,19.1,8.28,6321,3.31,13.8,770
111,10.8,11,126,45.7,32.5,7.84,189,6.49,18.4,100
186,16.1,15.8,610,30.2,106,12.5,1094,3.02,6.32,403
38.5,1,27.1,410,52.3,21.5,48.3,54.7,20.2,6.98,257
59.9,3.62,48.3,1827,96.5,50.9,42.2,183,33.7,10,1286
233,1.03,8.06,229,19.6,13.5,40.3,441,1,5.67,141
16.7,1.88,3.96,112,10.6,20.4,7.77,10.9,3.72,14.6,55.7
31.9,1.5,19.5,217,47.4,73.7,28.1,62.6,4.18,9.14,175
33.7,2.84,25.7,1700,38.5,142,43.7,79.1,10.3,12.9,1230
27.4,1,147,352,46.6,17,18.4,48.7,11.2,10.6,246
32.8,1.14,11.5,17.9,33.1,56.2,14.1,45.7,3.16,13.1,12.7
29.4,1.18,6.04,445,13.2,16.3,1.01,36.8,1,15.7,313
71.7,20.5,7.37,106,16.4,22.9,15.4,882,5.19,14.5,67.3
27.6,2.37,19.3,770,34.9,14.3,9.22,45.3,11.8,12.6,496
67.9,17.2,8.58,588,44.9,130,51.4,2458,19.3,19.8,368
42.2,1,3.75,244,5.62,27.6,25.9,82,5.99,18.4,204
12.2,1.24,76.4,183,21.3,4.03,10.1,85.1,3.08,7.99,137
28.1,2.62,11.7,552,47.8,183,24.6,155,1.58,4,305
44.9,8.98,8.98,331,41,11.7,6.26,284,4.45,1.1,207
25.5,3.89,1,337,11.7,109,87.4,1778,1,44.1,215
82,4.78,56.7,449,82.8,87.4,21.5,1794,34,11.9,334
66.1,2.79,23.5,215,30,22.7,4.78,279,8.9,16,120
42.2,3,12.3,466,16.3,2.92,10.6,241,2.27,5.14,308
79.1,6.1,32.5,46.6,59.4,21.9,14.5,1176,20.4,14.2,42.2
14.1,1.91,7.57,59.4,11.5,21.1,10.6,55.7,1,9.65,39.6
101,7.3,4.7,271,27.1,31.6,10.6,217,14.7,23.5,209
153,25.5,237,400,79.1,23.1,30.5,2054,38.5,9.73,281
219,55.2,106,188,38.5,17.5,2.97,4255,10.8,18.9,132
74.3,1.96,12.2,638,23.3,130,26.7,215,4.07,7.99,433
56.2,1,6.44,225,28.1,100,69.8,109,1.57,38.9,183
67.9,4.74,172,514,101,59.9,6.85,292,9.91,13.7,308
23.7,1.67,11.2,195,61,17.8,21.1,74.3,16.7,14.2,127
39.6,4.87,15.8,1827,56.2,16,5.52,100,23.1,8.74,1275
89,2.05,49.6,235,119,120,48.3,184,31.9,34.3,186
31.9,1,8.9,155,12.9,19.3,6.85,137,1,17.2,105
43.3,1,94.7,491,42.2,69.8,13.5,106,13.1,35.5,325
113,2.07,10.6,109,37.5,49.6,11,264,11.5,11.9,69.8
14.6,3.08,13.9,1446,27.6,122,13.3,64.4,3.89,4.07,1018
137,28.6,10.1,57.3,44.9,109,112,2054,3.79,20.9,76.4
37.2,1.53,21.9,63.2,53.8,61.5,27.9,139,23.5,28.6,59.4
32.5,1.7,3.25,599,27.6,53.3,13.9,137,3.92,16.3,343
109,3.37,6.15,403,22.7,22.9,7.3,328,3.65,5.78,297
70.4,24.4,98.2,922,51.4,33.1,20.5,1286,7.37,22.5,588
28.6,1.61,25,1197,88.2,13,26.9,53.3,44.5,47,791
33.1,1.01,5.47,340,32.5,15.1,17.8,58.8,1.17,16.8,235
63.2,16,33.7,239,139,67.3,11,1486,57.3,6.92,170
59.9,1.88,28.6,1000,66.1,1.47,154,219,32.5,6.61,644
28.1,2.35,13.1,414,32.5,20.4,8.35,35.5,1,17,284
93.1,9.91,16.1,956,33.1,50.5,46.6,1382,1.35,18.9,638
70.4,1,12.1,334,9.56,61,11.3,241,1,10.4,235
58.3,2.13,1.95,340,29.4,56.7,36.8,255,2.04,13.8,225
31.1,1.12,3.16,562,18.1,93.9,770,102,1.61,131,382
78.4,2.57,3.4,3924,18.1,11.1,6.04,221,1.65,14.9,2738
77.7,12.3,17,1407,45.3,13.9,30.2,1794,13.8,7.77,898
61,18.9,61.5,264,13.1,19.5,17.9,1124,2.11,20.5,193
30.5,3.31,195,34.3,32.8,219,59.9,91.4,15.4,117,42.9
49.6,7.7,68.5,2072,40.3,28.9,19.6,2308,10.7,34.9,1472
46.1,1,124,126,27.9,188,106,121,2.11,53.8,97.3
63.8,1,3.4,123,19.8,103,12.3,241,1.01,16.4,85.8
139,1,8.51,91.4,49.6,79.9,37.2,188,12.9,45.7,92.2
75.7,2.33,8.9,1747,29.7,154,27.4,248,4.07,15.5,1155
72.3,6.21,8.58,279,32.8,28.1,47,325,3.72,5.99,172
30.2,2.29,10.5,229,16.7,25,20,61.5,3.55,14.5,143
58.3,5.42,158,308,80.6,23.1,5.52,176,12.4,26.2,204
141,4.57,112,289,32.2,33.1,13.2,325,12.2,17,167
191,9.56,7.64,982,7.37,44.5,31.3,1670,1.18,28.9,615
132,10.8,13.9,352,34.9,163,55.7,1568,9.31,16.1,223
49.6,1,13.2,106,42.2,25.3,13.6,89,12.2,15.7,72.3
67.9,11.3,12,449,48.3,25.9,5.73,1407,4.22,22.7,300
118,1.31,22.3,34.6,58.8,150,21.1,257,31.1,7.57,31.3
50,1.21,63.8,184,50.9,89,34,120,15.7,10.2,99.1
66.1,1.47,1,38.2,50.9,80.6,25,195,1.89,9.06,39.2
49.1,1.88,4.07,1370,29.4,15.5,63.8,143,2.11,4.18,914
57.3,3.28,4.61,176,67.3,973,98.2,279,37.9,15.8,109
33.7,1,71.7,81.3,35.2,246,111,80.6,11.4,89,86.6
75,3.11,8.9,35.2,25.3,95.6,32.5,289,3.43,23.1,35.9
121,5,17.2,685,41.8,18.4,4.7,392,17.8,13,487
91.4,12.4,12.5,723,39.6,21.3,1,2503,1.73,18.4,478
195,1.79,24.6,3889,41.8,94.7,40,414,9.39,13.9,2714
22.5,1.15,7.84,205,43.7,18.4,17,69.8,1.02,20,78.4
31.1,2.74,32.8,547,58.3,55.7,15.1,147,12.9,13.5,400
30.2,6.55,13.5,730,48.3,64.9,23.7,1700,24.6,13.2,519
56.7,7.3,8.9,305,9.39,58.3,30.8,1731,2.48,33.7,225
12.3,1,2.13,267,14.7,88.2,64.4,145,1.07,17.6,193
19.1,2.11,6.04,305,38.2,4.7,10.6,41.4,3.52,4.1,215
56.2,1,11.9,46.1,54.2,11.3,17.8,253,2.48,20.7,50
80.6,29.4,2.33,93.9,17.5,8.2,30.5,956,3.11,10.2,46.6
99.1,2.21,8.13,1928,9.56,119,45.7,215,1,14.3,1420
11.1,2.64,16.4,68.5,55.7,30,22.3,92.2,2.37,18.9,40.7
31.3,1,4.03,10.7,43.3,17.5,8.74,53.8,2.33,17,27.6
107,12.4,2,2788,27.9,34.9,21.7,882,2.64,23.7,2035
53.3,2.62,145,661,50,241,48.7,173,5.62,136,453
39.6,1.24,48.7,644,93.9,123,17.6,115,23.1,14.7,365
40.7,1.57,52.8,28.4,102,25.7,1.23,195,38.5,22.3,41.8
16.1,2.37,18.3,308,44.1,46.1,21.3,62.6,19.8,14.7,193
22.5,3.16,21.1,1526,74.3,281,93.9,110,45.7,117,1065
19.5,1,31.1,308,55.2,52.8,33.1,151,8.2,15.3,213
67.9,7.91,22.5,289,40,70.4,38.2,294,11.2,20.9,193
35.5,3.46,2.02,311,12.6,196,82,124,1.19,4.33,213
25,2.35,24.4,500,50.5,85.1,39.2,16,9.31,24.8,340
42.9,1.36,55.7,1582,20,9.91,15.7,96.5,2.21,1,1134
72.3,2.29,42.2,198,80.6,22.7,56.7,215,23.1,3.05,132
146,4.45,34.3,172,52.8,49.6,40.7,392,7.84,13.6,106
35.2,6.38,10.6,72.3,30.8,54.7,43.7,248,9.82,26.7,57.8
49.6,11,10.3,1382,41,20.9,13.8,1540,1.73,16.7,956
30.5,1.53,6.61,898,35.2,14.3,2.79,136,1.18,20.4,599
37.5,1.24,106,352,28.4,106,34,93.1,4.7,20,231
138,3.02,29.7,1104,93.1,21.5,5.05,359,46.1,21.9,698
63.2,6.85,17.6,1512,23.3,106,24.1,271,4.1,16.8,1000
38.5,1,8.06,292,17.6,93.1,14.1,129,1.04,11.4,188
57.3,1,12.9,56.7,13.9,120,31.3,163,3.4,11.9,56.2
25.7,1,175,213,77.7,552,66.1,90.6,5.33,15.8,164
67.3,6.49,1.79,1420,31.6,26.7,53.3,346,1,21.1,1009
20.2,1.1,2.53,784,19.1,24.1,7.43,87.4,1.64,20.2,461
77.7,23.7,12.7,437,44.9,18.4,17.6,973,1,7.7,297
118,1,1.51,269,8.74,67.3,23.1,223,1,59.9,164
56.7,1,9.82,1027,47,47.4,17.5,146,20.4,17,649
59.9,1.55,14.2,184,36.8,46.1,23.7,89.8,1,16.4,130
84.3,22.7,7.37,286,10.1,17,5,2308,2.79,11.1,196
51.9,2.74,6.61,325,23.5,51.9,22.3,129,3.11,13.8,231
49.6,5.14,6.79,32.5,57.3,4.03,23.3,1877,3.59,15.4,23.9
110,1,7.3,191,29.2,262,93.9,294,1.43,42.6,130
118,1.33,8.13,65.5,37.2,17.5,9.47,284,1.38,16.5,122
64.9,6.98,117,372,39.6,32.5,31.9,246,1.42,17.9,253
35.5,4.57,5.42,445,23.9,22.7,41,213,1.18,16.1,316
80.6,1.35,36.2,54.2,84.3,71,34.9,227,49.6,26.7,27.6
53.3,1,14.9,1554,34.3,83.5,41.4,94.7,4.29,13,1124
79.1,2.11,14.6,255,14.7,58.8,5.28,237,1,14.6,167
33.1,4.22,9.73,248,41,22.3,14.3,799,1,27.6,153
170,17.6,10.7,191,26.7,56.2,18.8,991,1,48.7,217
47.4,7.77,20.9,319,52.3,123,44.1,1334,3,11.8,241
17.6,4.33,3.46,588,22.3,14.5,13.2,71,2.86,15.5,433
121,16.5,11,1811,54.7,19.1,14.2,1104,1.5,15.1,1275
96.5,5.78,69.2,124,17.9,53.8,26.4,276,4.18,16.4,85.8
42.2,1,5,41.8,34.3,18.1,18.4,237,1.75,12.2,30
20.7,2.74,25.7,316,62.1,56.2,31.3,61.5,18.4,25.5,227
47.4,2.35,9.14,79.1,17.8,33.4,5.67,71,4.96,21.1,64.4
44.5,5.09,10.4,1310,14.3,23.7,1.3,85.1,1.64,12.5,931
64.4,1.08,30.2,777,51.9,18.8,10.6,163,16.4,16.5,466
67.9,1,7.64,1420,11.2,12.5,19.1,143,2.55,20.7,1037
17.6,1.36,2.55,107,38.9,35.2,8.74,50,3.59,14.5,85.8
38.2,1,17.9,704,24.8,21.7,5.62,54.7,3.05,17.2,470
112,7.57,7.04,939,22.3,24.8,2.07,1499,4.03,24.1,673
53.3,6.79,103,103,66.7,19.6,11,2148,28.4,17.5,82.8
126,1.45,111,142,29.2,142,8.35,352,3.65,9.65,84.3
158,25.9,20.5,445,51.4,16.7,12.6,1715,17.6,18.4,300
109,12.4,11,189,53.8,26.4,20.9,1433,2.15,5.47,154
83.5,1.37,7.04,1241,37.9,95.6,11.4,269,1.53,47.8,843
30.5,2.09,1.88,547,13.1,56.7,30,167,1,15.7,308
91.4,4.1,13,164,34.9,193,11.1,389,11.8,15.7,145
110,1.72,5.05,271,26.9,17,25.9,262,1,3.96,181
26.2,1.09,3.62,2393,35.9,51.4,31.6,124,6.85,17.3,1794
17.5,1.14,9.91,88.2,21.3,27.1,19.3,81.3,3.37,17.6,66.7
109,1.04,8.74,375,31.9,17.5,6.38,217,11.9,18.9,241
165,3.89,6.15,1762,36.8,66.1,15.5,573,2.67,13.8,1252
48.7,3.25,82,213,57.8,487,86.6,147,14.2,26.7,131
20.7,1,7.5,73,6.38,89.8,15.4,77.7,1.5,11.2,52.8
46.1,18.6,42.2,2227,72.3,52.8,70.4,1176,21.7,30,1526
38.9,4.14,6.21,1298,30.8,46.6,10.9,149,1.76,11.1,914
43.3,1.84,13.7,71.7,29.7,85.1,26.4,61,1.61,12.9,62.1
17.2,1,16.4,426,26.9,19.3,11.2,44.9,4,9.31,274
76.4,3.08,9.73,36.5,53.8,37.2,14.7,259,7.57,20.9,38.9
145,22.3,16,87.4,26.7,96.5,19.6,956,1.64,15.7,58.3
46.6,6.85,12.2,257,34.9,64.4,30,2350,1.54,15.5,160
155,8.13,17.6,289,44.9,173,25.3,449,1.27,8.2,227
40.3,1.43,6.49,89,21.3,23.5,73,167,1,20.4,63.2
97.3,25.5,7.84,231,10,15.7,15,757,3.05,18.8,157
23.5,1,6.32,77,28.4,25,19.8,93.9,1,10.7,32.5
51.9,1.54,56.7,334,115,11.9,7.3,164,30.8,21.5,209
124,1.24,20.2,906,34,319,50.9,340,9.91,26.9,547
41.8,1.78,5.52,204,24.4,23.9,13.2,173,3.02,7.99,158
11.8,1.45,9.14,269,32.8,22.7,41.4,78.4,8.2,24.8,231
227,26.2,5.23,193,17.2,68.5,29.2,2148,3,17.2,138
24.8,4,10.3,1778,34.6,52.3,21.1,137,2.39,38.9,1252
122,1.18,3.16,1395,32.5,133,313,183,1.04,42.2,931
30.8,2.74,5.83,198,32.5,10.8,22.9,91.4,10.8,16.5,130
20.5,1.67,5,176,48.7,66.7,78.4,66.7,1.5,29.4,103
64.4,4.29,5.42,94.7,19.6,25,42.6,209,1,9.22,78.4
66.7,1,14.5,322,59.9,21.7,14.2,62.6,15.1,14.1,231
55.2,12,13.6,843,61.5,88.2,59.9,1747,1,25,632
33.7,1,12.5,286,48.3,27.4,2.62,146,1.51,19.3,211
23.7,1,6.21,1843,21.5,15,15.8,126,1.81,12.2,1230
58.3,1,7.7,146,15.3,30.5,6.79,223,4.74,12,89
65.5,1,37.9,269,93.9,130,48.7,146,29.4,24.4,195
91.4,5.14,18.3,32.2,31.9,300,30.8,791,10.6,1.96,55.2
61.5,20.2,8.51,1611,31.1,145,12.7,1230,3.59,10.5,1144
44.5,6.98,6.1,302,17.6,271,16.3,449,1.57,1,186
29.4,4.61,4.61,1625,32.5,35.5,64.9,29.2,1.2,10.3,1055
91.4,2.57,15.1,737,30.8,55.2,21.9,292,1,13.7,483
46.1,2.84,4.14,86.6,20.7,27.6,42.9,104,1.14,7.3,52.8
41.4,1.54,8.98,137,16,37.5,13.1,123,1.2,21.9,95.6
85.1,10.6,6.49,322,44.9,45.3,13.6,407,1,42.6,211
53.3,1,79.9,437,50.9,39.2,17.9,168,3.62,12.7,302
79.1,1,5.47,1843,25.7,153,23.3,271,1,19.5,1275
32.2,1,2.33,813,20.4,12.4,20.5,65.5,1.5,5.94,533
28.6,2.94,76.4,1433,22.3,25.5,37.2,98.2,1.58,32.5,939
55.2,2.76,8.58,93.9,51.4,16.4,2.89,158,4.96,29.7,67.9
44.5,3.79,28.9,284,62.6,48.3,18.1,1298,39.6,19.6,178
133,3.43,16.3,2091,30.5,52.8,106,331,3.85,26.2,1499
85.8,19.5,6.73,346,25,53.8,84.3,1459,2.39,23.5,225
82.8,4.83,17.2,453,15.4,15.5,1,365,3.65,20.4,308
39.6,2.21,1,264,31.3,17.2,18.4,866,1,12.6,175
40.3,1.2,13.7,264,37.9,40.3,5.83,141,3.62,3.4,198
117,4.57,18.3,105,41,15.7,25.3,233,16.5,25.9,80.6
62.6,2.86,7.99,73,26.2,32.2,16,117,1,23.3,65.5
178,3.82,7.99,74.3,13.6,12.3,29.4,352,3.96,24.4,44.9
120,22.1,18.3,379,37.5,47.8,88.2,1540,10.7,21.3,204
37.2,1.73,1.88,365,15.8,31.6,35.2,143,4.18,10.8,223
45.7,1,43.3,167,57.8,379,66.7,57.8,33.1,25.5,87.4
84.3,1.47,4.96,770,22.1,85.8,22.1,328,1.08,15.4,478
17.2,2.81,14.9,125,20.5,196,27.4,98.2,4.26,7.57,58.8
54.2,6.21,32.2,176,55.7,34.9,36.8,1459,16.3,11.2,147
28.4,2.71,1.58,58.3,29.7,20.9,8.98,108,2.37,18.3,55.2
30,2.97,3.82,343,22.9,59.4,20.5,124,2.67,16.3,231
25.9,1,10,478,28.6,15.7,4.57,66.1,1,13.6,322
23.9,2.55,3.65,328,9.91,94.7,25.7,153,2.67,13.2,241
80.6,14.2,10.6,257,42.2,12.9,30.5,1911,5.99,5.78,178
133,3.79,4.22,578,24.4,155,45.7,414,3.59,8.13,385
61,3.72,7.64,426,24.1,20.5,12.1,274,1.3,21.1,300
36.8,7.7,10.2,172,26.4,56.7,20.9,1018,1,17.9,127
121,2.09,5.09,227,31.1,24.1,22.9,337,2.25,10.2,139
54.7,1.76,30.2,322,58.8,12,3.82,118,4.49,14.7,244
45.3,2.89,8.98,1794,32.8,382,32.8,145,2.07,2.53,1219
337,42.6,5.94,311,31.3,28.9,77,2864,1.13,10.3,193
35.2,1.19,17,906,38.5,18.3,12.1,85.1,7.1,15.5,562
44.5,1.76,12.4,47.4,34.3,141,46.6,161,1.89,13.6,56.7
59.4,1.58,10.5,223,19.3,217,71.7,114,1.22,22.7,157
173,12.1,7.1,578,64.4,32.5,5.57,1670,9.14,16.7,418
48.7,1.73,4.53,28.6,20,55.7,20.9,262,3.08,11.4,17.3
77,4.91,8.28,1999,22.7,23.1,13,1540,1,25.9,1433
599,68.5,5.47,167,25,313,66.1,5989,6.79,46.1,101
53.3,13.7,26.7,346,76.4,117,36.5,300,34.3,13,253
32.8,2.5,12.6,632,31.3,53.3,15.3,262,10,32.2,437
47.8,2.5,5.78,45.7,21.5,123,52.3,170,2.19,14.9,56.7
48.3,1.11,31.3,764,55.7,53.3,28.9,84.3,12.6,13.8,519
4.91,6.98,14.9,253,11.3,13.7,13.7,325,2.69,4.41,137
176,1,85.1,422,29.4,25.3,5.33,300,3.59,13.3,292
44.1,1,121,71,40.3,15.7,1,50.9,4.07,12.7,63.8
51.4,4.14,7.43,542,31.6,48.3,8.06,1540,1.19,26.2,359
40.7,1.01,7.17,3220,55.2,17.2,12.2,92.2,2.97,16.5,2227
56.7,1.36,96.5,1084,22.9,42.2,15.1,172,1.91,17.9,737
64.9,14.7,123,334,37.2,63.8,17.3,1554,4.14,23.9,227
71.7,1.83,5.14,244,26.9,14.6,1,150,2.76,13.9,164
32.5,1.63,23.7,346,82.8,45.7,15.5,118,17,17,231
56.2,1.43,4.66,51.9,28.4,164,56.7,122,3.46,17.6,40
99.1,2.27,12.3,294,25.5,8.98,10.2,956,2.5,22.5,198
80.6,2.89,10.8,221,25,64.9,31.9,193,1.45,13.5,141
34,2.09,9.06,1827,21.9,102,23.3,137,2.17,18.6,1310
49.1,1.98,5.42,269,12.1,161,19.3,178,1.25,10.6,168
175,18.1,10,46.1,20.4,15,5,1197,1,11.4,49.6
147,35.2,8.13,319,36.8,147,26.7,2916,2.15,11.5,231
43.7,1.29,102,255,42.6,20.4,9.39,44.5,5.67,18.9,179
178,2.94,86.6,136,32.8,12.1,24.1,487,3.49,15.7,106
64.9,1,4.78,843,9.47,87.4,35.5,82,1,13.6,557
22.1,4,17.8,137,50.9,9.22,40,410,1.07,23.3,94.7
17,1.63,3.89,3051,18.1,47.8,19.5,69.2,1,41.8,2187
18.1,1,13,403,21.5,20.9,17.5,82,1.08,8.13,328
124,8.66,4.07,610,17.6,37.5,11.9,1407,1,14.3,340
15.4,1.43,16.4,300,19.1,13,10.9,62.6,2.92,22.7,101
55.7,1,20.5,229,52.8,48.7,4.83,179,21.7,15.8,160
514,24.6,2.86,621,28.9,15.8,2.09,2035,2.41,12,403
46.1,2.86,110,241,25.5,149,7.04,221,4.14,7.17,289
139,25.5,8.43,799,21.7,31.3,20.9,2393,1.01,28.1,509
34.3,3.11,8.74,991,23.1,101,20,183,3.68,54.2,661
125,10.3,11,939,33.7,40.7,8.98,1568,1.21,15.8,578
34.6,1,12.3,66.1,38.2,170,41.8,154,4.1,40.7,59.9
93.1,4.03,7.37,359,33.4,20.7,34.3,267,1,15.5,253
229,80.6,27.1,362,46.6,27.6,4.96,2738,23.1,15.8,244
84.3,4.29,5.42,843,20.5,147,31.9,198,2.5,10.2,533
96.5,26.7,11.1,308,31.1,33.7,14.1,882,7.5,22.7,204
49.1,4.96,5.99,422,48.7,14.1,2.04,202,1.78,16.1,246
55.7,1.75,8.66,2393,40,110,34,137,2.09,17.2,1685
11.8,1.1,1.49,2227,20.5,127,19.5,71.7,2.48,13.5,1499
138,5.67,1.64,99.1,12.7,43.3,69.8,410,4.61,34.9,64.9
78.4,1.31,9.82,400,20.9,122,1.63,191,1,14.2,262
72.3,24.1,5.28,74.3,26.2,136,16.3,1027,1,8.43,86.6
73,9.56,2.53,982,36.2,131,8.28,255,3.43,9.39,679
79.1,2.33,30,2091,42.9,37.2,9.47,211,14.3,26.7,1446
65.5,9.22,7.43,882,14.9,11.5,4,289,1.27,12.4,573
15.4,1.15,13.5,1298,40,10.4,16.5,86.6,2.44,15,874
47.4,12.4,8.66,1144,20.7,14.5,11.4,939,11,12.6,750
24.1,1.47,8.35,97.3,17.6,2.46,16.3,79.9,1,9.31,60.4
60.4,6.61,15.5,466,48.3,39.6,49.6,165,2.31,14.7,328
24.4,1,7.5,39.2,22.3,20.4,16.1,47,1,14.6,42.9
56.2,13.2,8.06,799,37.9,20,25.5,1358,1.61,16.4,474
59.9,11.2,14.7,267,36.8,65.5,104,422,1.79,42.9,196
48.3,1,19.1,153,61.5,13.8,10.6,67.3,1.46,10.9,120
33.1,1,6.1,340,24.6,22.1,3.65,31.9,1.96,10.2,227
36.5,1.46,1.67,496,19.6,25.9,75.7,213,2.07,22.7,340
126,10.8,8.82,542,21.9,21.3,34.3,445,1.23,3.59,365
69.2,1,10.5,562,22.7,21.5,12.9,149,1.55,17.3,410
67.9,1.96,8.2,85.1,22.5,20.2,5,126,4.66,6.04,55.2
47.4,2.07,4.74,235,12.6,22.3,47,151,1.2,6.61,147
36.2,2.74,2.64,227,24.6,49.6,7.3,147,2.48,34,155
62.1,1.07,15.7,400,12.1,31.9,3.59,191,1,19.5,284
30.5,1.43,6.73,3429,30,42.6,18.9,1094,2.31,35.2,2288
93.9,2.09,6.15,523,30.2,25.9,16.5,294,5.67,14.1,355
58.8,1,4.83,90.6,14.6,64.4,30.5,173,2.39,9.56,107
67.9,1.37,2.05,165,14.1,21.7,11,137,1,14.6,139
34,2.79,2.46,184,17,10.8,1.63,111,2.33,10.6,131
12.6,1,12.9,139,45.3,20.9,8.35,50,1.12,21.3,81.3
63.8,1,4.96,337,12.3,65.5,36.5,65.5,4.53,50,231
47.8,4.91,8.2,54.7,12.2,337,38.2,1027,2.02,27.1,49.6
119,1,6.73,828,37.9,73.7,15.4,279,1.2,13.2,523
103,1.64,8.82,244,27.6,17.8,21.7,248,1,20,168
22.5,1,2.53,1186,16.7,15.8,17.3,46.6,1,19.3,799
28.1,2.02,4.07,441,15.5,328,79.1,58.3,1,50,349
160,7.5,7.5,95.6,43.7,2.84,1165,429,2.86,3.65,97.3
55.2,9.56,13.8,403,40,15,21.9,1459,4.57,21.3,217
48.3,1,2.44,947,10.6,23.9,24.4,164,2.27,16.5,655
71.7,3.08,7.7,115,15.5,36.8,10.5,259,1,25,71.7
205,3.79,1,311,22.7,39.6,49.6,466,1.47,7.99,213
151,4.78,10,372,9.56,248,79.9,328,2.71,19.8,250
28.4,1,7.1,1334,17.6,30.8,7.23,46.1,1.49,26.2,874
143,5.28,3.68,519,16.1,20,37.5,396,3.11,8.82,334
126,8.82,24.4,235,47,61,22.9,1526,12.6,25.5,186
97.3,8.98,1.83,91.4,18.4,13.3,8.9,1018,1,14.1,88.2
29.2,4.29,13.3,1124,44.9,13.5,4.7,132,5.42,17.9,757
30.8,4.1,7.77,255,27.4,83.5,24.8,191,2.21,36.8,160
85.1,9.14,6.55,679,53.8,13.6,7.99,2091,2.57,13.7,449
87.4,1.1,4.26,33.4,24.6,13.8,26.9,196,4.1,11.9,40.7
113,4.1,67.3,113,56.7,20.2,33.7,385,18.3,9.82,25.7
