praf,pmek,plcg,PIP2,PIP3,p44_42,pakts473,PKA,PKC,P38,pjnk
58.3,33.7,9.47,4.41,14.3,7.04,28.4,478,17.9,35.9,12.2
77,24.1,8.9,1.01,18.3,16.7,63.2,1252,15.3,33.4,6.92
75,24.1,1,2.09,15.8,68.5,132,2288,5.94,33.1,138
34.6,19.8,1,6.92,17.8,16.7,31.3,294,25.5,83.5,30
82,33.7,1.32,3.16,12.9,41.4,93.1,757,27.4,79.1,38.9
55.2,27.4,3.46,2.59,18.3,19.6,32.5,213,25.7,67.3,66.7
93.1,62.6,1.06,6.98,2.02,6.32,37.2,500,1.93,19.1,57.8
151,153,9.73,1.01,21.9,67.9,132,2571,90.6,114,25.5
93.1,66.1,2.44,6.21,2.5,66.1,129,1877,4.37,20.9,57.8
54.2,25.3,8.58,3.02,27.6,18.6,34.9,274,3.92,18.9,85.8
113,57.8,11.7,3.62,20,44.5,76.4,509,4.53,23.9,160
42.9,36.8,5.57,3.59,8.82,26.4,102,1446,17.6,30.2,15.8
26.4,14.1,10.7,5.99,5.62,8.06,17.5,392,16.3,45.7,15.5
138,176,14.2,1,7.3,38.2,58.8,246,63.2,87.4,16.5
48.3,26.4,2.67,6.49,18.3,90.6,248,914,5.88,51.9,119
54.2,19.1,5.42,2.11,29.7,104,346,2813,14.1,17.3,2.41
77,51.9,1.33,3.4,17.3,53.8,91.4,813,18.6,27.6,10.8
10.6,24.6,2.21,8.2,10,15,50.5,562,17.2,48.7,10.2
78.4,39.6,6.1,1.01,12.9,16.7,48.7,123,18.3,37.2,6.26
60.4,29.7,10.5,1,1,27.6,50.9,626,37.5,79.9,44.5
24.8,33.4,1.33,1.55,2.25,41.8,122,698,16.7,44.1,95.6
54.2,10.5,2.11,1.01,22.9,6.04,19.6,422,10.4,23.9,3.75
103,30,3.28,4.45,8.2,50,80.6,1382,1.73,19.1,79.9
16.8,23.9,5.99,4.91,14.3,6.98,52.3,547,1.25,10,46.1
84.3,40.3,6.79,1.01,17.6,19.6,37.5,246,13.7,35.5,78.4
56.7,38.2,2.11,2.53,12.9,16.7,38.5,523,30,69.2,42.9
49.1,29.2,2.53,1.42,5.73,18.6,48.7,1165,27.9,40.7,21.9
2.15,12.3,3.75,1.81,16.7,25.3,82,1000,19.1,39.2,10.9
139,48.7,6.04,1,31.3,11.5,34.3,87.4,12.7,29.7,14.2
48.3,23.9,6.26,6.04,10.6,18.3,44.5,710,2.69,19.1,47.4
10.1,16.3,5.38,1.23,21.1,13.5,34.6,289,26.2,51.4,22.7
82,62.1,3.96,1.08,13.6,2.59,30.2,27.9,2.39,17.8,84.3
12,17.2,4.83,3.85,2.29,5.83,23.5,931,55.7,99.1,26.4
28.1,17.6,1.63,1.01,17.2,19.1,28.1,221,42.2,114,73.7
87.4,20.5,4.18,1.03,1.36,59.4,161,1084,17.8,35.5,14.1
91.4,32.5,4.57,1,9.73,17.2,36.2,305,24.1,62.6,31.3
10.6,1.58,6.85,4.26,12,25.9,61,898,32.2,75.7,40.3
102,33.7,6.15,1.72,16.8,113,331,3078,12.6,31.3,13.6
33.4,17.9,5.83,1,13.1,6.67,40,313,5.57,28.6,67.9
55.7,40.3,15,1.02,21.7,69.2,130,1395,23.7,34.9,8.43
90.6,37.2,2.69,1.24,4.91,8.82,22.7,519,11.9,18.3,14.1
74.3,26.4,6.49,1.35,14.7,11,31.6,965,18.8,33.4,15.5
46.1,48.3,3.43,1.68,12,32.8,95.6,552,2.76,33.4,99.1
153,119,2.89,1,22.5,13.7,20.7,453,10.6,25.3,14.2
19.8,15.4,3.96,7.1,4.37,19.5,36.5,474,18.4,38.2,7.91
40.3,23.7,8.06,1,16.5,7.43,31.3,1094,13.6,30.2,11
31.6,16.4,1,2.25,1.01,21.3,47.4,1075,22.9,61,21.7
15,21.1,5.23,3.55,12.6,46.1,109,2548,2.25,5.42,5.83
77.7,21.1,14.3,2.84,28.4,27.4,44.1,205,12.1,23.3,12.2
58.3,23.5,5.28,9.73,29.2,20.4,44.9,649,10.1,22.7,14.5
50.5,24.4,4.18,1.19,12.3,17.3,45.3,1407,13.7,35.9,12.9
123,68.5,1.73,1.33,5.67,18.1,36.2,382,9.91,18.9,9.91
55.2,16.7,1,1,8.28,30.2,111,1407,4.74,12.6,76.4
82.8,27.6,1,2.17,15,5.52,22.3,487,16.1,39.6,6.79
46.6,9.31,1,5.73,19.1,23.9,40,308,12.2,28.9,4.29
66.1,71.7,5.09,2.44,21.1,43.3,108,1911,38.2,84.3,27.4
51.4,24.8,18.8,9.82,25.7,24.1,47.8,1114,3.28,18.9,56.7
61,22.7,4.18,5,1.61,12.7,22.9,221,16.1,30.5,13.8
95.6,43.3,1,1.93,16.3,9.06,37.9,578,16.8,34.6,21.1
42.9,26.9,1.01,1.23,11.5,26.2,34,340,13.9,26.2,12.1
86.6,53.8,1,4.37,20.2,45.3,130,1000,32.5,59.4,17.6
73.7,34.6,3.11,158,32.5,25.3,44.9,264,2.53,15.8,64.9
106,46.6,2.57,2.97,22.5,10.1,37.5,610,1,55.2,4
18.8,25.7,5.47,3.92,31.9,10.2,15.7,352,11.9,40.7,33.7
27.6,34.6,1,1.01,12.2,5.88,16.1,385,14.9,23.7,15.8
63.2,71.7,8.43,1.96,34.6,73,179,1625,15.5,29.4,10.9
47.8,34,7.57,2.84,24.4,21.5,42.9,257,11.5,33.1,9.47
74.3,24.4,2.21,1.98,16,67.9,121,227,7.5,18.9,83.5
93.9,40.3,5.14,2.81,33.4,18.8,39.6,241,22.5,35.2,15.8
62.1,20.2,7.77,1,11.8,31.9,47.4,235,27.1,73.7,18.8
89.8,42.9,8.06,1,9.39,20,28.4,400,28.1,63.8,24.4
55.7,62.6,2.19,5.52,34.6,11,78.4,2763,48.3,102,41.8
90.6,31.6,18.4,5.14,29.7,27.6,48.7,193,38.9,85.8,57.8
13.1,31.1,11,1,21.9,11.5,27.1,400,2.46,23.9,68.5
66.7,23.7,3.28,1,20.4,9.22,53.3,828,13.8,52.8,130
15.8,25.7,1.27,3.08,16.7,37.2,61,414,19.6,31.3,12.3
17.2,37.2,14.1,3.31,28.9,13.5,31.6,491,26.4,77.7,29.7
90.6,45.3,12,1.01,30.5,28.1,48.3,229,1.45,48.7,3.89
14.1,11.5,3.19,1,20.9,12.4,126,189,23.3,34.3,17.6
85.8,21.3,1.57,1.41,5.05,63.2,181,1731,23.7,50.5,150
61,17.6,1.6,1.05,4.78,34.6,66.1,410,44.1,121,90.6
132,172,2.15,2.25,8.66,16.4,33.1,426,38.2,64.9,21.9
62.6,37.9,1.18,1.95,14.5,17.3,32.8,372,1.02,26.7,52.8
44.1,40.3,1.54,1,20.2,70.4,126,615,31.1,74.3,40
107,129,15.8,1.03,10.9,49.6,99.1,1298,28.4,50.9,31.1
54.2,14.9,9.39,1,13.5,35.2,101,813,13.2,40.3,21.5
33.1,26.4,2.17,1,14.6,21.7,41,947,7.04,27.1,9.39
23.5,18.6,4.91,2,6.55,23.5,66.1,2187,19.5,31.1,6.38
57.3,28.9,1.01,5.52,5.88,19.5,34.3,215,3,16.1,68.5
61,19.6,2.74,1.06,12.3,12.4,26.9,300,4.57,10.4,69.8
38.9,17.9,2,3.19,25.7,4.53,28.1,685,27.6,56.2,21.5
97.3,47,1,2.15,26.7,38.2,137,2017,17.8,37.2,22.7
118,104,16.8,2.13,16.5,27.6,38.9,403,30,51.9,17.5
53.3,28.9,4.45,3.43,18.3,9.06,21.7,470,13.2,27.6,8.2
445,89.8,1.01,3.62,14.1,12.1,34.6,931,22.3,45.3,11
38.2,15.4,6.1,3.68,29.7,10.5,31.3,604,32.8,85.1,27.1
56.7,25.9,1.83,3.96,21.7,13.5,26.2,698,22.3,53.8,4.26
75,54.2,11.2,2.09,12,17.3,34.6,519,5.78,37.5,154
19.6,27.4,5.88,1,29.4,42.6,89.8,1275,40,93.1,51.9
59.4,30.5,4.7,1.53,12.9,29.2,75.7,267,15,24.4,4.57
72.3,15.1,7.43,5.83,31.1,20.2,33.7,302,34.9,73.7,35.2
49.6,25,3.85,1.1,17.2,4.26,6.98,181,3.89,20.9,90.6
85.8,37.5,1,1.01,9.14,45.7,70.4,225,28.9,73,50
46.6,17.3,6.98,1.18,2.81,117,223,528,25.7,36.8,29.7
67.9,35.5,5.47,1.89,14.1,18.1,131,129,19.1,47.4,18.9
28.9,22.9,1.31,1,6.73,11.8,30.8,496,14.3,37.2,9.56
96.5,60.4,1.76,1.14,9.14,31.3,158,1084,36.2,67.3,33.1
77.7,26.4,2.46,5,10.1,46.6,65.5,292,15.4,42.2,22.1
40.7,19.1,1.55,3.96,4.03,27.9,46.1,281,23.7,30.8,27.4
73,43.7,3.59,1,18.8,131,231,1186,9.14,18.1,11.7
37.9,21.3,5.28,1.01,18.9,37.2,56.2,292,3.46,9.82,59.9
88.2,45.3,11.1,1,17.8,37.5,75,1186,37.5,64.4,14.9
15.4,23.7,4.91,1,2.25,34.3,62.6,1778,19.3,51.4,21.9
72.3,50,5.28,1.01,25,34.3,90.6,1322,33.4,65.5,27.6
85.1,23.5,8.74,1.01,18.6,8.28,23.3,717,4.18,9.73,4.14
18.3,14.2,3.85,7.99,18.4,50.9,105,1009,37.9,56.2,23.1
62.6,25.5,7.1,1.06,3.34,21.7,34,300,7.43,38.9,54.7
8.2,17.9,1.03,1.55,21.7,41.8,106,1747,29.2,51.9,16.7
88.2,29.7,13.8,3.25,13.2,31.6,58.8,667,22.3,45.7,13.8
10.8,23.5,7.37,10.1,12.2,19.1,43.3,1018,15.1,23.9,18.3
54.7,24.6,6.92,1.15,17.8,47,95.6,1877,1,1,7.7
57.3,23.7,7.1,9.65,9.22,44.9,126,1186,3.49,18.4,77.7
28.1,44.1,1.08,3.62,9.65,43.7,87.4,552,12.7,25.5,6.73
21.1,15.8,7.43,2.48,21.5,13.8,36.2,784,25.3,45.3,82
78.4,57.8,5.57,1,2.89,5.38,17.8,704,18.8,29.2,8.9
6.98,28.4,9.73,1,6.85,34.6,66.1,355,23.3,42.6,22.9
65.5,22.5,1,1.01,11.5,61,95.6,956,14.9,30,21.1
58.3,24.6,4,4.96,24.1,5.94,34.3,874,4.14,16.8,109
16.1,15.3,1.11,1,14.3,10.5,48.3,1762,4.22,20.5,50.9
34,29.4,3.22,2.76,9.14,19.1,30,441,20,45.7,13.6
14.3,16.8,1.81,5.73,27.6,12.9,33.7,523,47.8,106,58.8
68.5,28.6,1.86,1.91,1,20.5,41.4,305,26.4,58.8,32.5
63.2,29.2,2.46,1.91,1.42,25.7,54.7,337,33.1,79.1,31.6
100,57.3,6.21,1.24,26.7,23.5,34.6,308,12.7,22.5,2.07
103,41.4,6.04,10.5,12.9,5.73,22.1,500,21.1,44.1,24.4
62.1,22.5,10.7,1.68,17.5,91.4,165,470,11.9,25.9,15.3
81.3,47.4,1.08,1,9.06,7.64,35.2,743,19.3,39.6,21.3
69.8,19.6,1,7.7,16,74.3,161,737,12.9,32.5,13.7
42.9,20.9,4.7,1.25,26.2,24.1,65.5,806,3.16,12.6,85.8
72.3,75,3,1.98,6.55,54.2,118,1027,27.9,67.3,27.1
47.8,18.9,6.85,5.23,2.94,35.5,74.3,906,24.4,71.7,19.6
73,40,5.73,1.01,31.6,34,84.3,1685,3.55,30,93.1
46.1,35.9,11.3,1.27,11.9,37.2,97.3,764,17.2,42.2,11.7
9.47,4.57,1.47,5.05,4.18,311,644,1946,13.1,30.2,13.3
75,28.4,6.67,7.17,18.4,13.2,139,132,17.5,39.6,8.74
25.9,42.2,2.86,1.01,21.3,11,25.9,429,25,43.3,5.47
40,30.5,10.6,35.2,34.3,33.7,95.6,2666,24.8,42.6,13.1
51.9,17.8,1,1.01,10.3,36.2,72.3,2091,8.2,17.3,32.8
95.6,61.5,11.2,1.01,38.5,18.4,53.8,483,3.34,8.28,40.7
49.6,18.1,10.9,2.33,25,20.2,35.2,355,13.8,25.9,7.91
359,365,13.3,1,32.2,11.2,20.4,491,13.5,39.2,13.6
71,47.4,2.97,3.11,16.5,27.6,35.2,241,1,68.5,4.29
62.1,37.9,1.5,1,10.4,67.3,135,730,11.1,21.7,8.2
4.18,21.9,4.49,2.23,15.4,46.6,97.3,2035,21.7,45.3,19.1
14.2,7.1,10.6,4.14,9.91,34,55.2,308,21.5,64.4,21.7
73,22.1,9.31,1.01,12.4,28.4,38.2,349,13.7,31.3,17.2
23.9,22.5,2.27,2.57,13.8,46.6,82.8,588,1.7,53.8,2
15.7,16.3,5.38,93.9,22.7,32.5,66.1,655,42.2,107,34.6
36.2,39.6,1.86,5.42,1,40.3,101,1219,35.2,77,32.2
69.8,21.9,9.47,1.01,17.3,24.6,61,297,9.73,28.9,13.1
48.3,19.1,5.83,1.01,16.4,41.4,130,799,30.5,55.2,25
138,125,6.85,2.55,9.31,9.06,5.38,133,18.9,38.5,3.4
62.1,39.2,4.66,3.37,8.13,28.1,69.2,1275,28.4,50.9,14.2
63.8,24.1,1.01,3.13,26.7,15.5,73.7,2110,1,2.94,3.16
95.6,52.3,5.99,1,30.8,6.38,20.2,26.4,23.7,31.6,29.2
7.84,26.2,10,8.43,16.7,7.37,14.6,248,13.2,23.1,30.5
50,17.3,1,3.34,20.7,14.9,34,316,18.1,52.8,33.4
12,12.4,4.66,1,3.08,26.7,65.5,982,30.5,38.2,9.31
71.7,30.5,11.8,1.01,16,34,58.8,567,24.1,50,23.3
17.8,24.6,1.23,1.01,13,8.82,23.5,843,11.3,44.9,86.6
34.3,30,1,1,19.8,58.8,114,882,23.3,56.7,44.1
27.1,24.8,14.6,2.39,23.9,12.3,71,1420,2.33,22.9,77
55.7,34.9,1.75,3.92,5.62,44.5,79.9,1055,26.9,45.7,17.5
70.4,32.8,1.04,1.88,8.74,20.4,43.3,730,12.4,21.3,1
54.7,28.1,1.15,4.61,26.4,28.1,46.1,375,51.9,67.9,1.67
30.2,24.6,6.67,1.79,1,20.5,43.3,491,2.29,6.85,4.18
7.43,29.4,8.51,1.42,4.78,37.9,97.3,1700,6.73,12.6,5.52
42.2,40,3.96,1,13.2,29.4,47,474,25.5,47.4,21.9
29.4,22.1,3.85,3.68,7.04,29.4,73.7,1176,10.1,25.7,14.2
130,117,7.77,1.06,27.1,34.6,58.8,418,3.46,20,95.6
97.3,51.4,7.91,2.05,13.6,14.1,29.4,491,91.4,139,28.1
77,91.4,1.54,1,17.6,31.1,36.5,316,14.9,36.8,8.58
26.2,15.5,7.7,3.79,17.5,14.7,36.2,372,7.17,8.66,1
44.1,15.3,3.43,2.41,5.88,17.5,43.3,349,35.5,83.5,37.9
61,32.2,3.22,1,11.3,22.7,45.7,281,9.31,18.4,5.52
82.8,50.5,8.2,1.96,18.1,32.8,55.2,422,18.1,33.1,13
120,35.9,4.91,2.97,16.7,18.8,34,372,16,34,6.04
51.9,46.1,13.2,1.01,18.4,6.73,13,474,24.4,50.5,77.7
18.4,18.1,6.49,1,9.73,8.2,25.3,547,8.35,25.5,2.44
154,53.8,6.44,1,6.21,33.7,57.8,1165,13.9,13.8,6.92
47,27.1,5.83,1.01,14.1,11.3,39.6,723,29.4,48.3,27.6
92.2,31.6,7.77,1.58,4.83,17.5,24.1,655,19.8,40.7,5.83
64.9,24.6,4.33,1,17.5,6.1,19.1,757,26.4,50.5,10
37.9,18.4,4.33,1.25,12,34,100,914,6.44,30.8,108
37.5,29.7,1.81,1.01,5.62,27.9,50,289,14.7,28.1,1
63.2,34.6,5.52,2.41,24.8,17.8,32.8,717,15.4,25.9,17.6
8.98,22.1,7.99,3.62,7.43,78.4,145,673,6.85,19.8,1
42.9,15,1.15,1.01,22.5,5.19,19.8,588,32.2,59.9,14.3
69.8,20.4,5.23,1.01,2.84,56.7,127,698,16.7,32.8,17.6
12.9,20.4,3.19,1.01,8.2,8.66,31.9,655,18.8,31.3,11.7
106,24.1,4.53,1.01,17.9,61.5,111,1670,32.8,79.9,26.7
59.9,23.7,1.6,3.02,16.5,17.6,42.2,269,18.9,41.8,18.1
172,33.1,5.88,173,47.4,24.1,32.8,279,31.9,56.2,28.9
39.6,18.1,4.83,1,21.7,13.7,35.5,198,32.5,84.3,60.4
20,23.1,2.55,3.22,22.5,17,62.6,1252,3.52,36.8,67.9
59.4,26.9,14.1,2.13,14.2,41,89,632,18.1,44.1,26.4
82,26.2,1.01,1.3,12.1,27.4,69.8,1762,34,50.5,8.51
65.5,35.2,7.37,1.72,9.39,8.98,22.7,474,9.73,25.5,14.7
100,44.5,1.01,6.32,10.6,24.8,51.9,487,2.55,9.82,48.3
122,46.1,1.32,1.33,16.4,46.1,91.4,2350,22.9,46.6,15
55.7,22.9,3.22,6.67,12.7,14.9,53.3,1055,17,35.2,9.56
100,57.3,4.26,1.01,13.3,11.7,29.2,322,21.1,31.6,13.7
20.7,13.6,8.43,5.33,4.22,18.9,56.7,2458,9.39,19.8,1.98
103,35.2,1,1.01,11.8,13.7,25.5,382,14.9,25.5,8.28
67.9,20.4,1,2.27,10.9,18.4,30.8,205,13.2,40.3,17.3
106,26.7,10.4,1.08,1,21.9,37.2,264,17.9,35.9,37.9
98.2,30,5.47,2.27,11.7,3.46,19.6,820,40,71.7,40
74.3,21.5,1.75,1.12,3.28,18.1,71.7,1999,29.2,52.3,9.06
45.7,34,5.47,3.34,8.06,14.9,20.7,225,14.2,39.2,20.9
65.5,31.9,4.41,3.46,9.56,43.7,79.1,922,28.1,50.9,27.6
67.9,24.6,2.5,1.01,12.7,21.3,44.9,523,26.7,47,10.1
94.7,36.5,6.79,1.23,5.47,14.6,30.2,567,113,175,37.9
56.7,31.3,7.77,4.07,8.98,80.6,143,557,15.7,37.2,15.1
55.2,24.4,1.73,6.38,9.65,14.3,29.7,328,2.46,13.7,75
14.1,19.1,3.37,2.13,6.61,7.04,26.9,704,27.6,44.9,11.3
75,18.3,3.28,1.01,15.4,24.6,38.5,175,15.5,33.4,89
89.8,42.9,6.32,1,3.75,20.7,44.9,271,21.1,38.5,13.1
68.5,25.7,3.4,1.25,5.73,7.84,20.7,27.6,16,33.4,11.8
1.12,22.7,6.38,1,14.2,25.3,42.2,449,24.6,50.5,13.1
43.7,28.4,10.2,1.23,14.6,17.8,39.6,337,19.1,41,12.7
10.5,23.1,2.62,1.05,13.7,18.1,40.7,289,24.4,49.6,43.3
47.4,16.3,1.84,1.95,7.77,32.5,57.3,445,20.5,42.2,22.9
53.3,21.5,6.85,2.92,39.2,19.1,55.7,679,64.9,114,47.8
41.4,24.1,11.8,1.55,8.35,9.91,58.3,389,2.59,16.1,79.9
259,172,1,1.41,15.5,21.5,42.6,407,39.2,73.7,48.3
99.1,46.6,5.33,1.3,20.5,10.9,32.5,466,7.04,21.9,2.67
58.3,27.6,7.7,4.29,6.55,6.55,15.5,28.9,16.5,31.1,16.1
54.7,33.4,9.73,2.17,19.8,46.6,85.8,604,31.6,54.7,26.4
