praf,pmek,plcg,pip2,pip3,p44_42,pakts473,PKA,PKC,P38,pjnk
33.4,19.6,14.2,19.3,12.7,158,213,334,17.8,31.3,34.9
38.5,27.1,34,31.6,3.62,114,202,2017,33.4,77.7,167
59.4,75,22.7,29.2,3.75,32.2,42.6,615,3.37,17.6,80.6
15.3,16.7,12.2,239,28.1,5.33,7.99,328,14.6,22.7,8.06
21.7,32.5,20.7,34.3,5.57,97.3,175,2642,30.8,55.2,76.4
30,14.9,22.3,35.5,2.46,137,316,5829,1,14.1,13.2
31.6,13,26.4,37.2,1,23.1,35.2,1275,6.38,5.33,50.5
18.8,11.1,71,466,64.4,20,39.6,615,14.9,44.5,110
7.64,28.1,6.79,18.1,7.77,47,64.4,1104,23.7,45.7,44.9
40.7,59.9,1.86,4.41,3.19,29.2,43.3,644,25.7,40,53.8
21.9,28.1,84.3,403,76.4,125,186,1568,4.1,9.47,30.5
51.4,22.1,94.7,117,17.6,76.4,102,947,8.58,25.7,129
30.5,15.5,53.3,142,19.1,77.7,151,2738,94.7,179,328
8.9,13.3,74.3,359,54.2,7.77,21.7,519,10.6,7.37,43.3
37.2,19.1,11.8,19.8,7.17,8.9,17,588,1,1,44.5
13.8,9.56,16.7,146,19.3,175,223,661,10.4,42.2,70.4
11.1,25,85.1,552,93.9,20.9,35.9,331,18.3,22.5,32.2
17.2,6.79,28.9,29.2,11.1,11.4,30.8,552,3.75,4.33,44.9
61.5,93.1,17,21.1,1.01,4.26,15.1,599,23.9,38.5,106
17.2,13.7,57.3,97.3,31.3,37.5,66.7,2329,8.74,2.33,35.2
16.8,46.1,18.6,63.2,11.8,18.9,31.9,649,8.2,23.5,50.9
12.1,10.5,21.3,18.9,4.26,176,483,8354,15.1,9.06,53.8
17.3,26.4,82.8,414,106,40,64.9,1018,13,20.9,27.6
21.5,22.3,73,519,87.4,3.72,12.3,851,1.31,33.1,10.9
25.7,15.8,34.3,37.5,2.89,5.23,20.2,422,1,64.4,8.28
13.1,11.7,21.7,132,42.2,36.5,49.1,542,1.08,5.88,13.2
44.1,29.2,39.6,119,63.2,36.8,47.8,365,3.52,6.79,30.2
38.2,14.2,7.1,28.1,8.98,172,233,1075,8.58,25.7,57.3
32.2,35.2,35.9,276,61,44.9,62.6,418,8.43,32.8,77
34.6,18.8,54.2,313,54.7,16.1,34.3,704,1,13.7,8.06
4.96,12.6,47.8,57.8,19.6,3.43,19.1,655,19.5,42.9,62.6
28.4,31.9,59.4,257,57.3,6.26,17.2,382,10.5,18.9,57.3
69.8,50,20.7,19.5,12.3,59.4,104,337,34.3,72.3,139
32.2,21.3,104,519,87.4,45.7,61.5,1286,22.1,34.3,42.6
30,32.5,17,22.1,7.5,49.6,86.6,1124,23.1,40,47
40.7,19.5,1.26,1.07,1.55,77.7,81.3,279,7.7,13,64.9
22.1,17.2,33.1,14.6,17,26.9,27.4,433,25.5,62.6,231
23.3,12,55.2,262,64.9,12.3,59.9,3023,17,27.1,50.5
24.6,19.5,20.9,17.2,13.1,3.85,14.5,1208,11.4,15.7,77
73,93.9,27.9,29.7,1.01,89,132,1762,11.9,28.4,12.1
23.1,10.7,17.8,80.6,3.68,22.3,30.8,483,8.66,28.4,48.3
20.7,12.7,20.9,25.5,9.82,17.9,25,632,3.85,7.99,46.1
14.1,9.31,18.3,3.37,29.4,112,161,939,8.51,16.3,46.1
16.1,6.26,20.2,17.3,8.82,75,125,1894,19.1,37.5,63.8
22.1,15.8,21.3,32.2,8.98,3.85,22.3,328,1.47,7.23,48.7
44.9,45.7,16.1,16.8,10.3,29.2,94.7,1715,32.8,66.7,137
62.6,52.3,35.9,233,49.1,167,271,2207,6.85,12.2,44.1
45.3,62.6,21.3,17.5,15.7,65.5,95.6,1433,13,26.4,36.2
19.5,20.2,24.8,30.2,10.4,19.6,43.3,573,2.69,4.57,7.77
17.8,16.3,14.3,85.8,17,20.5,33.1,922,43.7,62.1,62.1
14.2,13.9,18.9,19.5,8.43,66.1,154,2329,18.6,40.7,68.5
77,43.3,53.3,284,60.4,56.2,110,1762,22.1,24.8,81.3
6.44,18.3,15.7,41.4,13.1,44.1,56.2,750,35.5,59.4,76.4
14.3,18.4,5.05,1.75,8.13,31.1,58.8,407,18.8,47,48.7
30.2,54.7,40,211,41.4,14.9,32.5,588,5.99,15,45.3
13.5,21.9,35.5,40.7,7.91,44.9,103,3460,1.18,18.6,58.3
93.9,52.3,30.8,31.3,14.6,74.3,137,1794,9.39,24.6,92.2
24.6,9.65,37.5,40.3,18.1,35.5,130,2763,36.8,49.6,59.9
19.8,11.7,23.5,16.7,15.1,3.37,19.3,470,13.7,31.1,56.7
30.2,19.8,24.4,19.8,1,50,72.3,673,37.2,62.1,91.4
18.1,23.7,7.77,41.8,26.2,42.9,54.2,538,10.6,47,81.3
13.8,13.2,32.5,46.6,15,104,172,1747,20.4,30.8,63.2
19.1,14.6,22.9,32.8,11.4,78.4,127,1596,13.6,29.4,30
20,16.3,26.7,176,10,106,168,2571,9.39,8.28,13.9
23.1,11.5,14.5,42.6,103,119,204,2480,58.3,67.3,13.2
25.3,28.6,18.3,61.5,16.4,18.4,24.1,717,6.73,66.1,132
25,20.5,31.1,445,55.2,40,57.8,359,11.8,20.4,55.7
17,7.04,21.7,24.4,8.66,33.1,44.1,750,13.5,37.9,37.9
29.7,22.3,20,17.2,1.38,121,219,1999,7.37,22.5,37.5
22.5,17.5,23.9,77.7,17.5,35.2,56.2,340,4.37,26.7,47.4
61,33.1,37.9,311,48.7,137,352,4698,47,85.8,157
17.3,10.1,28.1,27.9,3.28,44.9,66.1,403,7.17,23.7,42.9
129,109,41.8,161,48.7,5.09,15.1,644,16.3,39.2,88.2
21.3,16.4,21.1,22.5,16.5,3.46,25.3,578,7.17,36.2,48.3
91.4,41.4,24.8,319,38.9,17.9,30.5,956,18.6,34.3,79.1
14.7,22.3,27.6,35.9,13.5,9.39,20.5,382,1,12.9,13.8
19.3,10.1,5.38,4.1,2.25,7.77,17,982,9.22,24.8,49.6
28.4,21.7,38.2,170,37.2,29.7,39.6,692,9.22,17.5,69.2
72.3,76.4,17.9,15.5,16.1,63.2,109,947,25,82.8,205
6.55,10.2,16.8,22.9,1,82.8,113,679,14.5,20.7,59.9
12.5,5.23,69.8,131,50,21.7,31.3,414,10.2,74.3,3.59
32.8,18.3,23.5,23.1,3.31,53.8,85.1,610,10.5,35.5,53.3
19.1,10.3,20.5,78.4,18.1,26.2,35.2,505,6.15,17.9,54.7
24.6,11.8,30,30.8,14.6,32.8,48.3,362,3.19,3.19,50.9
16.8,13.6,75.7,123,46.1,6.44,37.9,1000,12.2,20.5,18.3
7.17,17,23.7,23.3,5.33,25.7,41,491,14.7,28.6,54.7
19.1,13.9,15.8,74.3,21.9,24.1,34.3,474,9.39,27.6,39.6
20.5,20.9,17.3,120,15.3,11.7,24.1,644,9.06,16.1,50.9
18.4,19.8,12.7,81.3,11.3,6.21,44.1,496,84.3,119,41
20.9,8.82,20.7,300,31.3,19.5,37.2,542,18.6,29.2,49.1
14.9,15,17.6,170,24.1,22.7,32.2,453,18.6,31.1,79.9
16.1,14.3,8.9,42.9,21.1,17,30.2,698,9.91,21.1,38.5
12.3,13.8,4.07,1.01,1.65,26.4,37.5,784,1.2,28.1,27.1
26.9,20.2,19.5,170,23.3,8.51,15.4,487,32.5,67.3,118
131,95.6,12.3,189,16.5,36.8,62.1,1084,22.1,33.7,69.8
62.1,71,8.9,4.45,9.56,4.41,17.3,655,60.4,146,209
30,10.3,26.7,22.1,15.4,11.3,21.1,552,5.42,13,34.3
52.8,39.2,17.2,161,19.5,4.83,20,410,8.66,19.3,29.7
75,52.8,42.2,259,39.6,20.4,41.4,692,17.8,58.3,60.4
32.2,14.3,25.3,24.4,3.85,9.56,29.2,1275,14.3,21.7,38.9
18.3,19.8,14.3,18.6,1.88,1.76,1.01,93.9,11.1,26.2,41.8
13.7,25.3,14.6,147,13.9,18.8,46.6,777,57.3,131,181
27.6,18.1,35.5,340,26.9,17.9,30,379,7.7,39.6,42.9
17,10.9,22.7,67.3,13.5,34,47.4,626,26.4,24.1,85.8
26.4,37.2,41.4,183,33.7,103,175,1395,15.7,29.7,59.9
19.8,20.4,21.9,25.5,2.59,67.9,104,407,1.35,28.1,47.8
7.23,38.9,90.6,418,73,26.9,36.8,262,7.37,16.7,35.5
145,88.2,21.3,30.8,12.9,158,264,3460,15,28.4,49.6
34.9,20.4,58.8,474,69.8,34.9,43.7,407,13,29.4,30.2
31.3,19.1,20.7,110,27.1,41,83.5,813,25.7,39.2,58.8
19.5,16.3,25.5,19.3,2.71,26.2,31.6,644,18.6,42.2,49.6
19.5,15.1,14.5,13.6,3.62,13.2,29.4,519,35.2,69.8,48.3
20.9,20.2,1,92.2,14.5,52.8,76.4,1186,17.9,23.5,48.3
22.1,11.8,8.58,10.1,11.9,22.7,33.7,491,20.5,16.1,53.3
25.7,11.4,21.7,19.5,4.78,4.1,25.5,340,10.6,13.6,50
30.8,20,36.5,48.7,4.45,43.7,66.7,1084,31.3,67.9,225
53.3,44.5,13.9,99.1,5.94,14.2,36.2,673,1,18.3,48.3
16.5,12.4,27.6,26.2,1,4.18,19.3,791,17.6,28.1,54.2
17.8,17,26.7,15.5,4.7,21.5,38.9,1065,5.73,30.5,12.3
73.7,39.6,25.7,30.5,17.2,54.7,81.3,604,31.6,55.2,111
95.6,65.5,158,392,93.1,17.2,36.5,514,57.3,133,188
56.7,50.5,17.9,209,16.7,3.25,27.1,264,10.5,15.1,56.2
32.8,6.85,47.4,368,59.4,36.8,54.7,626,23.1,30,63.2
24.6,33.4,10.6,64.4,12.5,9.22,45.7,730,10,25.3,30
24.6,17.5,27.9,18.1,19.1,14.9,26.9,496,40,55.2,85.1
27.9,9.91,117,514,73,57.8,90.6,1176,14.3,31.1,39.2
34.3,15.8,7.23,1.41,3.68,2.64,14.3,429,21.5,48.7,28.1
23.9,20.2,63.8,385,69.2,6.67,14.6,604,13.6,32.5,51.4
17.3,7.3,17.6,16,11.3,1.54,7.04,63.8,10.5,14.2,40.7
20.7,11.9,77.7,294,79.9,6.61,19.5,478,9.82,24.6,109
27.6,19.5,41.8,101,18.1,14.5,24.6,533,6.61,26.2,48.7
11.1,6.73,15.8,19.8,8.82,5.57,32.5,621,16.3,26.2,62.6
17.8,13.3,22.9,13.1,3.34,102,172,3338,6.73,27.1,54.2
13.6,13.9,24.4,23.1,9.31,41.8,61.5,704,13.9,28.9,37.2
6.32,12.3,22.5,27.4,7.3,4.87,16.8,368,21.7,28.6,68.5
15,20.7,25,24.6,5.88,106,176,3023,12.1,18.6,35.2
27.1,12.5,20.9,131,19.6,54.7,83.5,1075,22.3,36.5,118
11.2,7.17,20.2,20.7,8.51,31.1,44.9,470,18.8,50.9,89
31.1,38.5,20,20.9,3.55,4.33,21.7,562,13.8,43.3,77.7
77.7,154,25.3,20.9,1.14,8.28,34.9,931,17.3,43.7,58.3
18.8,23.7,37.9,42.2,12.7,32.5,38.5,449,4.53,6.61,7.23
21.1,21.5,21.7,26.4,3.05,23.7,37.5,349,47,124,31.6
28.6,18.8,14.5,17.9,8.66,30.5,43.7,422,11.8,40,52.8
59.9,44.9,25.9,155,48.3,13.3,23.7,478,15.4,44.1,46.1
17.9,5.88,19.3,14.6,8.2,13.9,26.2,610,20.5,21.1,44.5
45.7,26.9,65.5,250,49.1,21.1,44.5,638,15.1,21.1,53.3
38.5,21.5,21.9,23.1,5,26.7,44.1,500,14.2,33.1,52.3
81.3,77.7,31.3,21.3,8.82,20,35.5,466,8.82,25,42.6
12.1,7.57,18.9,22.3,8.2,5.14,22.1,626,3.85,16,26.9
167,101,93.1,470,68.5,67.9,117,1298,9.47,19.8,39.6
21.7,16.7,22.5,80.6,9.31,20.9,37.5,723,10.1,19.6,23.7
3.89,7.23,29.7,65.5,19.8,29.2,40.7,491,10.8,55.7,49.6
24.1,16.3,24.1,25,12,16.1,14.5,523,11.5,34,37.2
16.5,13.6,16.7,36.5,6.79,35.5,54.2,474,7.43,41,50.5
7.77,12.3,26.2,34.9,1,42.2,50,533,8.98,14.9,50.9
75.7,53.3,24.8,21.5,2.41,6.92,16.3,835,38.9,94.7,175
33.7,10.2,34,33.7,8.98,20.9,42.6,599,7.23,10.8,69.2
32.5,13.6,23.1,17.5,5.57,16.7,27.6,655,26.4,47,102
25.3,17.9,9.65,200,24.4,16,31.3,661,36.8,47.8,50
14.3,23.5,18.9,23.9,11.5,12.4,32.8,615,16.1,20.5,31.1
31.1,28.1,26.7,42.9,15.3,2.27,14.5,173,27.1,61,87.4
23.9,17.6,17.6,45.7,9.65,5.94,12.9,533,12.6,23.1,30.8
57.3,50.5,60.4,400,68.5,36.5,59.4,359,35.5,64.9,106
31.9,13.7,20.5,24.4,2.48,8.28,41,610,16,18.6,45.7
28.6,14.5,16.3,21.7,4.29,30.8,46.6,349,22.9,41.4,1.43
17.5,12.7,21.7,19.8,10.8,38.2,48.7,429,47.4,69.2,73
85.1,73.7,6.26,1,2.92,18.1,38.9,604,12.9,21.1,55.7
34,12.9,16.3,75,4.96,3.79,24.1,379,31.3,45.3,93.1
26.4,21.9,35.5,217,49.6,90.6,227,2072,11.3,37.9,29.2
21.1,13.5,4.78,15.1,20.7,4.53,28.6,389,14.3,20.4,47.8
17.8,9.22,14.3,20.7,4.57,25,35.9,365,22.3,29.7,24.4
21.1,17,22.3,26.7,10.6,24.1,28.6,538,11.5,27.1,34.3
26.7,11.2,29.7,29.2,5.62,16.4,22.3,594,5.83,28.4,19.5
16.5,19.3,17.5,34,10.3,57.8,123,1928,4.03,22.1,37.2
26.2,11.3,25.5,24.1,20.5,17.9,38.2,610,13.2,21.3,62.1
30.5,35.5,17.2,168,22.5,7.84,22.9,882,10.3,22.7,70.4
25.5,23.9,52.3,410,56.2,4.41,23.3,418,9.31,25,31.1
36.2,13.1,27.1,30.5,10.2,75,115,414,24.1,40,41.4
21.1,20.9,56.2,441,59.9,10.1,35.9,567,17.8,36.5,64.4
89.8,73,17.6,17.6,13.9,1.7,3.75,331,13.7,35.5,62.6
22.9,13.8,39.6,170,38.5,7.64,17.3,562,1.14,12.3,2.92
17.8,20.4,23.5,133,29.2,15,21.7,599,29.7,62.1,108
19.1,12.3,23.3,15,9.39,15,17.8,410,25.7,28.4,67.9
28.1,23.9,12.4,18.4,9.31,34.6,38.2,286,16.1,26.7,58.8
20.2,10.9,58.8,325,64.4,36.8,48.3,457,29.7,54.2,84.3
33.7,17.6,21.3,41.4,7.37,66.7,95.6,505,22.7,34.3,20.5
13.8,17.6,31.1,38.2,3.85,157,223,433,16,22.7,18.4
41.8,29.2,42.9,211,42.2,47,73,379,6.92,36.5,53.3
7.57,16,13.3,133,8.51,12.1,31.3,599,6.32,43.7,41.4
22.5,15,21.5,237,18.6,13.5,19.1,542,16.4,21.1,55.7
29.2,4.26,27.9,17.5,4.61,47.4,85.8,1230,11.2,20.9,39.2
16.8,18.1,11.1,55.7,5.62,41,54.7,325,15.1,27.6,16.3
31.6,20.4,30.2,29.2,10.3,3.68,11.4,615,3.55,36.8,75.7
23.3,8.13,14.5,15.3,14.9,17.6,20.7,692,18.1,44.5,61
46.6,30,38.5,96.5,22.5,9.65,27.1,673,54.7,82.8,149
30.8,19.8,45.7,113,7.99,13.3,33.4,491,10.1,25.5,37.9
25.9,15.1,24.1,170,8.98,26.4,42.2,557,18.1,30.2,24.6
42.9,23.9,18.9,23.5,14.2,2.86,22.3,483,13,34,49.6
69.8,37.9,15,337,35.2,6.32,61.5,392,41.8,71,57.3
13.9,20.2,32.8,48.3,12.9,17.3,33.4,505,15.7,36.8,41.4
22.1,19.1,20.9,16.1,5.57,149,269,3051,11.9,45.3,83.5
63.2,89,18.9,35.2,25.9,14.7,19.3,743,3.25,15.7,13.1
18.3,18.8,24.1,82,25,89,170,1700,15.4,21.7,47.8
12.6,24.8,17.9,9.65,1,73.7,132,1715,26.7,73.7,97.3
20,19.8,23.9,38.9,7.3,30.8,49.1,1219,16,30,41
18.9,11.5,71,470,80.6,45.7,55.7,392,11,14.7,49.6
69.8,48.7,12.3,23.9,12.6,12.3,21.5,509,11.8,35.9,50
7.99,7.84,35.9,365,44.9,12.6,29.7,1155,6.04,41.4,66.7
22.7,5.38,69.2,359,59.4,4.61,20.2,491,17.3,44.1,53.8
22.9,23.9,23.3,23.7,7.64,10.4,21.3,557,89,170,173
86.6,84.3,13.8,22.9,8.43,15.1,22.1,496,47.4,85.8,160
92.2,63.8,34.6,21.1,8.43,1,7.43,155,10.6,8.98,37.5
28.9,20.7,104,519,88.2,25,35.5,426,51.4,106,179
52.8,30.2,27.6,29.4,17.6,12.9,25.9,594,97.3,129,32.2
23.9,12.2,22.7,27.1,5.33,57.8,75,547,21.3,34.9,42.6
13.6,14.1,9.91,3.89,8.51,10.2,19.6,474,15.4,22.1,33.7
25.7,9.65,23.3,31.6,14.1,54.2,113,2167,7.04,30,34.6
22.5,14.1,75,588,71.7,23.7,42.2,505,7.1,17,4.22
107,92.2,142,667,115,10.4,22.5,799,97.3,131,23.5
8.43,8.74,31.6,267,40,6.15,13.5,483,62.6,96.5,50.5
25.5,15.8,30,35.5,28.9,43.7,69.2,1811,6.44,24.4,47
80.6,57.8,7.23,165,15.5,5.09,8.9,346,11.2,21.1,33.4
55.2,31.3,16.5,19.5,7.1,22.7,44.5,1055,25.9,44.5,59.9
65.5,34.3,21.5,80.6,4.33,25.7,30.8,542,53.3,118,155
19.5,10.9,122,453,73,5.23,27.6,655,20.5,24.8,38.2
28.4,9.82,18.6,198,17.8,93.1,154,1762,57.8,113,153
16.7,14.7,24.1,55.2,30.2,20.4,30.5,626,5.19,20.4,31.3
118,89.8,22.7,19.5,7.04,32.2,38.2,583,20.4,34.9,48.7
22.9,11.4,122,337,50.5,6.61,41.8,626,11.5,31.9,51.9
34.6,17.6,6.61,165,13.2,30.2,89.8,2091,15.1,33.4,56.7
51.9,40,13.5,168,5.99,25.5,39.6,1346,21.1,32.8,12.9
18.1,8.98,40,59.4,18.6,7.5,21.1,400,16.7,35.5,37.2
15.8,25.7,13.8,24.1,10.6,53.8,74.3,538,8.43,32.2,28.4
16.1,18.4,25.9,44.9,33.7,19.6,40.3,528,38.5,92.2,172
17,31.1,24.4,18.1,9.47,17.5,35.2,562,23.7,57.3,66.7
17.9,8.2,10.8,32.2,6.98,21.5,50.9,396,9.22,25.5,38.5
33.4,19.8,17,20.5,6.26,29.2,43.3,284,1,11.4,33.4
40.7,18.3,22.7,26.9,4.87,20.4,41,858,18.8,34.6,30.2
17.2,14.7,24.1,34.3,10.6,36.5,47.4,313,8.51,38.9,47.4
16.5,7.91,14.7,17.8,7.5,9.56,15.5,491,16.1,73.7,79.1
23.3,16.3,26.4,30.8,10.5,15.3,26.4,777,26.2,33.1,39.6
20.9,16.3,21.9,27.9,12.5,14.2,22.1,604,19.3,40.3,38.9
67.9,53.3,22.1,22.3,8.58,46.1,53.3,500,21.7,35.9,49.1
33.4,8.9,20.9,25.9,5.78,17,22.3,717,11.7,32.2,57.3
21.3,7.91,4.78,12.4,4.7,14.2,36.2,649,6.38,22.9,38.2
16.8,13.6,19.1,26.2,16.1,33.7,63.8,806,22.1,37.5,64.9
19.6,17.2,38.5,286,24.6,17,26.9,583,6.73,34.6,32.8
61,47.4,11.7,46.6,28.9,44.9,104,3368,15.8,27.9,51.9
40.3,22.7,5.38,8.98,6.1,109,136,400,34.9,110,253
28.9,20,15.3,21.7,3.79,93.9,130,1037,13.1,30,23.3
21.3,16.4,14.1,22.9,2.59,25.9,42.9,311,1.78,75.7,5.52
18.4,19.3,158,91.4,250,13.3,30.5,717,40.7,73.7,121
59.4,19.1,9.14,121,26.9,60.4,131,1981,21.1,41,43.7
17.8,3.43,18.4,28.9,18.1,64.9,137,2288,12.6,30.2,24.8
18.3,17,21.9,18.9,4.57,4.66,3.79,91.4,16.4,39.2,49.1
25.7,10.1,47,49.6,10.2,17.3,32.2,368,5.42,16.3,40
80.6,52.8,16.1,10.3,3.68,63.8,84.3,523,24.8,46.6,63.2
50.5,47.8,17.6,31.3,13.2,37.5,49.6,437,10.5,18.8,4.29
77.7,61,4.49,3.13,7.1,18.6,36.2,487,16.4,26.9,42.6
26.7,22.7,15.8,137,30.8,61,93.9,882,9.73,26.4,54.2
19.5,2.41,12.6,158,12.1,9.22,20.4,806,23.5,32.8,36.5
35.2,20.5,46.6,38.9,20.5,8.2,75,698,6.85,10,54.7
30,17.3,1.51,5.73,1.01,4.83,17.3,466,53.3,72.3,65.5
20.2,13.7,25.3,35.2,31.3,6.73,49.1,426,43.7,71,217
19.8,22.1,3.37,5.33,6.21,40,50.9,578,84.3,153,215
23.1,25.7,15,215,20.4,20.4,35.2,557,16.5,34.9,22.5
14.6,10.9,10.9,21.5,17.5,19.5,27.9,770,7.3,17,69.8
23.7,24.6,45.7,207,32.8,38.2,62.6,552,19.1,30.8,31.6
26.4,12.3,26.4,17.6,1,86.6,143,1963,4.78,18.3,27.4
22.7,21.1,30.5,29.7,17.5,33.7,46.1,437,51.4,146,213
24.1,19.5,19.6,26.4,4.74,14.9,25.7,679,1.02,2.46,7.04
6.15,17.5,24.4,26.7,4.57,19.6,32.2,557,15.1,33.4,50.5
32.2,19.8,28.6,31.9,5.42,44.9,91.4,991,1,56.2,11.1
75.7,86.6,20.2,80.6,20.7,3.68,15.7,1114,17.5,32.8,31.1
42.9,34,67.3,250,39.2,9.73,21.3,583,77.7,150,146
108,71,20.7,27.9,6.04,26.2,39.6,496,15.1,29.4,56.7
11,18.6,12.6,269,17.6,15.4,28.1,487,8.9,20.9,32.5
13.5,15,27.1,167,15.3,29.4,42.9,437,23.7,40.3,35.5
21.1,10,27.6,28.1,8.06,8.51,20,757,16.7,16.7,45.3
16.4,6.98,3.75,5.62,1.22,32.2,47.4,523,31.3,52.3,82.8
63.2,59.4,22.7,57.3,12.5,54.2,77,340,41.8,75,85.8
19.6,5.05,42.6,84.3,30.8,25.3,64.9,1778,7.7,22.3,61
23.5,13.2,22.1,17.8,1.19,12.9,37.9,1762,22.9,25.3,51.9
17.2,8.2,23.3,71,18.6,13.3,31.9,400,56.2,101,355
9.39,41.4,4.53,13.3,8.82,63.8,106,1104,58.3,110,183
20.2,19.6,29.2,35.9,4.53,22.5,29.7,500,10,25.9,53.3
24.4,10.9,18.9,15,8.58,14.1,30.5,770,16.5,32.5,40.3
16.7,9.73,22.7,34.9,23.9,6.26,19.6,982,12,21.5,26.2
27.9,14.9,111,284,43.7,34.3,44.5,667,45.3,88.2,158
20.9,12.1,21.3,92.2,6.73,2.04,14.2,334,46.6,69.8,125
31.9,19.6,17.5,13.3,11.9,26.7,42.2,453,16.3,17.2,40.7
16,8.13,16.5,17.2,14.1,34.3,60.4,418,10.5,26.4,32.8
12.9,15.4,66.1,63.8,28.6,22.3,34.9,400,14.3,24.4,48.3
34.6,12.9,21.9,20.9,5.94,18.3,27.6,621,9.31,26.2,37.5
27.6,17,13.9,98.2,10.9,39.6,62.1,552,29.4,45.3,44.5
65.5,34,14.7,13.8,5.38,26.2,44.5,717,13.9,36.5,52.3
19.8,18.3,15.5,19.6,10.6,6.73,39.2,1611,11,37.9,59.4
11.9,18.9,24.4,21.1,10,17,32.5,474,20,26.9,24.1
9.65,12.3,20.4,12.1,1,42.9,59.9,632,30.8,48.3,45.7
26.4,11.2,63.8,542,92.2,13.7,28.6,723,15.4,30,34.3
34,12,77,292,47.8,37.5,84.3,1197,16.4,38.9,22.7
29.2,29.7,24.6,15.5,3.62,5,8.13,991,19.6,37.5,17.8
43.7,7.7,50.9,86.6,40.3,25,58.8,1540,17.8,31.9,62.6
44.5,17.3,21.1,22.5,13.5,2.33,16.4,466,66.7,142,271
25.7,40,19.5,17.9,11.5,34.3,74.3,2436,12.7,42.6,76.4
73.7,62.6,20.9,12.6,3.72,17.9,30.8,649,8.82,23.5,13.7
16.5,7.91,25.5,20.5,4.78,34.3,83.5,1640,11.3,27.1,34
38.5,22.5,22.9,19.8,4.41,25.3,34.3,365,9.56,30,56.7
30.5,15.8,29.4,129,28.6,103,163,1554,4.37,9.65,9.47
36.2,35.5,29.2,46.1,14.7,16,25.3,403,17.8,45.3,51.9
27.9,16.7,4.87,8.43,16.8,76.4,127,1395,17.5,25.5,29.2
14.1,15.3,32.5,305,57.8,1,4.96,241,23.7,55.7,82.8
41.8,26.2,23.1,26.2,4.61,2.09,18.4,362,13.7,29.2,20.9
20.7,28.6,12.6,41,10.3,24.8,41,638,12.5,18.6,69.2
16.4,18.4,21.7,13.9,6.26,24.6,36.5,644,13.6,37.5,57.8
32.8,10.6,21.9,54.2,10.6,23.7,33.1,289,15,31.9,41.4
111,107,13.1,17.8,6.79,20.7,34.9,757,11.5,22.1,38.5
13.9,39.6,15.4,22.5,7.1,31.1,43.3,396,72.3,167,372
85.1,64.4,6.85,13.7,5.47,32.8,63.2,1981,11.2,18.4,44.9
68.5,63.8,26.2,23.3,3.79,5,8.51,547,23.9,41,52.8
16.5,8.2,20.4,115,19.5,4.14,16.1,453,8.43,17.3,21.9
12.9,15.4,23.7,14.9,3.82,62.6,127,3023,13.5,15.8,48.3
11.7,14.5,21.5,13.6,10.6,69.2,108,2054,9.14,22.3,29.2
13.7,37.5,18.6,23.9,7.3,63.8,108,638,6.38,16.8,17.9
22.7,11.8,22.1,23.3,9.39,107,274,3460,18.6,36.8,28.6
20,13.1,25.9,94.7,10.9,35.5,63.2,1155,11,24.8,45.3
13.2,13.3,8.82,24.6,25,2.57,15.7,449,29.7,55.2,66.1
9.39,19.1,53.3,105,35.5,66.7,118,1946,12.6,28.9,23.5
47,32.2,41,253,36.5,5.38,26.2,514,13.7,26.4,34.3
25.5,8.98,93.9,649,107,30.2,37.9,505,28.9,53.8,41.8
